patient_id,ic50
22RV1,4.247055464345923
2313287,3.3665565998597433
42MGBA,4.148295976004157
A427,4.951910707832286
BFTC905,4.0469886520971095
C32,6.046347904312516
EFO27,4.081237264771594
EN,6.576786986582628
EPLC272H,3.7141157525194823
HCC1143,3.4794015741309012
HCC1954,4.991693304313274
HCC366,5.8384766913731605
HDMYZ,6.217893585091059
HH,3.420823936578732
HL60,3.2302549811643937
HPAC,4.689180099400517
HSC4,4.901864705496167
HT1080,3.9524246862079537
KE37,4.083856445679799
KNS62,3.997063448358758
KYM1,4.368170753688701
KYSE510,3.9697327865305314
LAMA84,3.5625706271026836
LCLC97TM1,4.461103503271804
LXF289,3.8295290200369516
MEWO,4.88857128515933
MV411,1.4149556085470558
NCIH1299,4.9965568565436085
NCIH1341,4.243388980682437
NCIH1838,4.889286839627992
NCIH1876,5.775165154428659
NCIH2052,5.564575064892003
NCIH596,5.7563757014229155
NCIH810,5.063151716087585
NCIN87,4.923080361902757
ONS76,4.968781868691751
OVISE,6.924586048533624
PANC0403,4.766775279242063
PANC0813,4.42250749245035
PSN1,3.910784788830965
QGP1,5.677444352134705
RAJI,3.5383865434685315
SCC4,4.966920593975948
SKLMS1,5.210116074527134
SNU1,2.6892777464985356
SNU398,5.232782629072771
SUPM2,1.0161527378654345
SW1116,5.486437622398217
SW1573,5.046992249955832
SW1990,4.8779968995143275
SW837,5.9953039477299095
TE1,4.418236382453205
TE6,4.775573199096911
TT2609C02,4.982757838711452
UACC62,6.243236664713589
