patient_id,ic50
22RV1,3.1436386850733258
2313287,3.8233959742015275
42MGBA,5.356401530050767
A427,4.675576054393875
BFTC905,4.520749563232771
C32,5.088112493307734
EFO27,5.092799814364153
EN,4.69542361239866
EPLC272H,5.1362884721860125
HCC1143,4.893417810211612
HCC1954,4.543799461407635
HCC366,5.4213744037394624
HDMYZ,4.654819749288531
HH,3.6289695781512856
HL60,4.1415124739847355
HPAC,5.06928784520384
HSC4,4.86898557739023
HT1080,4.850432653212119
KE37,3.74771896960834
KNS62,4.548149261472936
KYM1,4.609642842918928
KYSE510,3.798662232095
LAMA84,4.0016013676310696
LCLC97TM1,5.144402321376713
LXF289,4.556148198894469
MEWO,4.6917354907139135
MV411,3.574973593221587
NCIH1299,4.528179416415038
NCIH1341,3.5357189454829485
NCIH1838,5.900105723761122
NCIH1876,5.103234755730355
NCIH2052,4.995531880760842
NCIH596,5.561485314733558
NCIH810,4.882982928643924
NCIN87,4.567816630857541
ONS76,5.313183462578371
OVISE,4.8754591999006145
PANC0403,5.395639359797629
PANC0813,5.355279672167273
PSN1,4.674338805848258
QGP1,4.573569020475988
RAJI,3.7736554298383123
SCC4,5.026947357206008
SKLMS1,4.433218246218384
SNU1,3.9487532186166265
SNU398,4.444181215119876
SUPM2,3.1085418875495754
SW1116,5.000421880048046
SW1573,4.935708517154512
SW1990,5.875085932309503
SW837,5.870267896703001
TE1,5.464660656857536
TE6,4.8712680624564895
TT2609C02,4.709243775929819
UACC62,5.066628374151926
