patient_id,ic50
22RV1,3.50621341983144
2313287,4.950939587471573
42MGBA,4.534294297317561
A427,5.77876836409064
BFTC905,5.139664925006291
C32,4.457712294778875
EFO27,5.00847739958959
EN,5.0380600719140665
EPLC272H,5.0307322842997175
HCC1143,4.575247317922828
HCC1954,4.822530386279319
HCC366,4.793369958480606
HDMYZ,4.72805500293226
HH,3.2399429554520296
HL60,3.4075023441607044
HPAC,5.230931640480772
HSC4,5.66285709869413
HT1080,4.548918645127818
KE37,2.8409880982684532
KNS62,5.763538906574467
KYM1,4.120542039490668
KYSE510,5.425203312960801
LAMA84,3.8432660433047947
LCLC97TM1,4.900076440989874
LXF289,4.623356247975386
MEWO,5.092282734602778
MV411,2.5878156779545582
NCIH1299,4.893260396592872
NCIH1341,4.705793869449662
NCIH1838,6.064314374001507
NCIH1876,5.039940070627148
NCIH2052,5.314914541718578
NCIH596,5.071907015169305
NCIH810,4.151005082302383
NCIN87,5.40484452668769
ONS76,4.859579886380083
OVISE,5.881768259531969
PANC0403,5.637827156557191
PANC0813,5.549716384145453
PSN1,5.597857795923202
QGP1,4.781446502890528
RAJI,2.735518914752168
SCC4,5.237305091648474
SKLMS1,4.7127637059716685
SNU1,4.406969373113748
SNU398,4.860846854912758
SUPM2,3.485446877474902
SW1116,5.665372935722772
SW1573,5.535191993697438
SW1990,5.881139792077708
SW837,6.02408143320946
TE1,5.692508729585598
TE6,5.881341086441752
TT2609C02,5.95988905189294
UACC62,5.017912480302097
