patient_id,ic50
22RV1,2.6670694871284004
2313287,3.5832333293361223
42MGBA,3.3807971264891936
A427,6.801364458145353
BFTC905,3.7547385551064774
C32,4.789685449788018
EFO27,2.9297419948291625
EN,4.279726394846091
EPLC272H,5.049392497635193
HCC1143,5.112571260188983
HCC1954,3.6558568465718038
HCC366,3.9364335995120108
HDMYZ,4.041251763302816
HH,3.3780447342851847
HL60,3.077107093886377
HPAC,4.8874404595594685
HSC4,3.7850301716445403
HT1080,3.7781375475994383
KE37,1.263501166824804
KNS62,4.3861604604258
KYM1,4.451849468558798
KYSE510,2.84843278910599
LAMA84,2.134394017680024
LCLC97TM1,6.917471487180523
LXF289,2.5181864184259988
MEWO,4.7798236132367435
MV411,2.8572125164056223
NCIH1299,5.036966745865389
NCIH1341,2.0883934644694575
NCIH1838,5.418627585381785
NCIH1876,3.981562351726638
NCIH2052,5.295571889742934
NCIH596,5.9774117072918775
NCIH810,3.119628528814774
NCIN87,5.148563534399232
ONS76,3.1313610728999497
OVISE,5.834847998313421
PANC0403,5.757291744874417
PANC0813,6.849298882608668
PSN1,6.063106466641676
QGP1,5.375670149574529
RAJI,3.0319927018492994
SCC4,4.104260103284407
SKLMS1,2.9790101954558414
SNU1,2.3814030605019347
SNU398,3.140441915145681
SUPM2,2.006787086371812
SW1116,4.694839609998606
SW1573,4.708141191910377
SW1990,5.479007310174235
SW837,4.961589322705894
TE1,4.219654478841147
TE6,4.2470132778128615
TT2609C02,4.969487937060168
UACC62,4.613045476734551
