patient_id,ic50
22RV1,1.1197103158848707
2313287,2.217760845308458
42MGBA,1.0552137340858498
A427,2.347383177030481
BFTC905,1.3280964212924462
C32,3.1633055565308705
EFO27,3.414542618464031
EN,2.5424690563477843
EPLC272H,3.281688164604223
HCC1143,2.8562474178501094
HCC1954,2.5684909860752403
HCC366,3.601439952132221
HDMYZ,2.753553413997743
HH,0.2108447165184335
HL60,1.1342478997189005
HPAC,2.414499862732853
HSC4,2.9891503614980377
HT1080,2.114648445800696
KE37,-0.01964795766898897
KNS62,1.5635860045368857
KYM1,2.0506938615631913
KYSE510,1.226651055023868
LAMA84,-0.4100753282328351
LCLC97TM1,1.2941720444073535
LXF289,1.9298544598134941
MEWO,4.406406072343862
MV411,-0.5160355944109867
NCIH1299,2.889076410189066
NCIH1341,1.6238040868682966
NCIH1838,2.967778872016227
NCIH1876,1.9436733979026999
NCIH2052,2.157541974267297
NCIH596,3.2547167957179086
NCIH810,1.5371300139298651
NCIN87,3.0786593589565947
ONS76,-0.07429483123768987
OVISE,2.897131152142447
PANC0403,2.6014298620847964
PANC0813,2.2992576518849566
PSN1,3.0221317670440118
QGP1,2.5179347028211745
RAJI,-0.12168658246837483
SCC4,2.0020156780951766
SKLMS1,2.4509166020382978
SNU1,2.6015765123706296
SNU398,1.839575228601703
SUPM2,-1.8002839698368542
SW1116,3.4685859128308296
SW1573,2.7967037217451565
SW1990,3.8234324673704423
SW837,4.040705568130482
TE1,3.4727049444311624
TE6,1.5788639381116152
TT2609C02,2.3032658637662715
UACC62,3.477464209677147
