patient_id,ic50
22RV1,1.6275736316206337
2313287,1.7387246697427374
42MGBA,1.7025812076016464
A427,5.233758599599378
BFTC905,3.7154487104923506
C32,3.3449224782513993
EFO27,3.1900364600877325
EN,3.648815575195662
EPLC272H,2.9699375746083
HCC1143,3.559450987711953
HCC1954,2.629892593663602
HCC366,4.205652164530404
HDMYZ,3.0324601608086845
HH,1.2145417272827028
HL60,1.485669441095474
HPAC,2.9834812227952328
HSC4,2.7295645843536356
HT1080,3.2203287160169163
KE37,1.5619437942019152
KNS62,3.0369408069924195
KYM1,-0.8584691185313282
KYSE510,2.105720947332923
LAMA84,1.9254690785567923
LCLC97TM1,4.4779639126686615
LXF289,3.8375204121362323
MEWO,3.272554572499575
MV411,1.1065818950700776
NCIH1299,3.2577326957005766
NCIH1341,1.2452544387800446
NCIH1838,4.913528031722856
NCIH1876,3.265601997411151
NCIH2052,3.108667326925296
NCIH596,4.2827054330629375
NCIH810,2.7658234177256307
NCIN87,3.752583035795194
ONS76,2.232694787172763
OVISE,3.9947015735599187
PANC0403,3.3791741163169027
PANC0813,3.8625815920637523
PSN1,2.7830719598158242
QGP1,2.605147223904457
RAJI,0.7383863228773317
SCC4,3.4461313766728656
SKLMS1,2.281914525898219
SNU1,1.1304835308370718
SNU398,1.1319114179787633
SUPM2,1.2974471415356135
SW1116,4.453467027269884
SW1573,4.212316754710889
SW1990,3.2776840623026633
SW837,4.16026316840871
TE1,3.512590445793384
TE6,1.7459710697685802
TT2609C02,3.7370757430803874
UACC62,3.513750263970294
