patient_id,ic50
22RV1,1.377700396
2313287,3.072314458
42MGBA,4.304099454
A427,2.653219735
BFTC905,2.161304307
C32,6.29258257
EFO27,6.442040579
EN,3.610370833
EPLC272H,3.633206677
HCC1143,2.37076592
HCC1954,1.772078693
HCC366,6.555870197
HDMYZ,4.524395886
HH,4.727731083
HL60,4.550865406
HPAC,4.255396286
HSC4,1.441354896
HT1080,5.639036833
KE37,4.026178809
KNS62,4.119948045
KYM1,0.412418946
KYSE510,3.086661399
LAMA84,5.130338016
LCLC97TM1,4.536948197
LXF289,4.374655476
MEWO,5.296083035
MV411,4.186199321
NCIH1299,4.570289576
NCIH1341,2.745205126
NCIH1838,6.144914015
NCIH1876,4.54973497
NCIH2052,6.121026513
NCIH596,5.128742097
NCIH810,5.088092514
NCIN87,3.043240591
ONS76,4.539483368
OVISE,0.796039323
PANC0403,5.126084818
PANC0813,4.472940336
PSN1,6.545075531
QGP1,6.399124744
RAJI,4.612537263
SCC4,2.237254016
SKLMS1,5.718960492
SNU1,4.255226926
SNU398,4.743924062
SUPM2,5.17386828
SW1116,3.59324753
SW1573,4.735931823
SW1990,5.825289182
SW837,1.338496517
TE1,3.755966209
TE6,5.235540276
TT2609C02,5.560107254
UACC62,5.167697928
