patient_id,ic50
22RV1,2.3608060328565195
2313287,2.6751700225052555
42MGBA,3.5222836686794454
A427,4.5902204598058685
BFTC905,1.9563555571501006
C32,5.224580288989715
EFO27,4.91525326170785
EN,3.8010200116793613
EPLC272H,3.831789993215851
HCC1143,1.7198958654425742
HCC1954,3.09393362601688
HCC366,4.615243150338979
HDMYZ,4.748004434624418
HH,3.4505047472858434
HL60,2.9010145438814825
HPAC,3.129416104432326
HSC4,2.503882422145086
HT1080,3.213384585852942
KE37,2.7199892255642686
KNS62,3.0806584720695733
KYM1,4.375962295977265
KYSE510,2.0627849662564817
LAMA84,3.9336412823628875
LCLC97TM1,2.8589066592211156
LXF289,2.7885904190267907
MEWO,4.9928455592973675
MV411,2.3366045492523364
NCIH1299,4.946196919002709
NCIH1341,3.7855057767478466
NCIH1838,4.628791344123706
NCIH1876,4.4734732967609
NCIH2052,4.737368338529434
NCIH596,3.4139060300332984
NCIH810,3.3946486552001107
NCIN87,3.1133496644713086
ONS76,4.257562826575788
OVISE,3.4461581187426567
PANC0403,4.1773277219902845
PANC0813,4.14886257063465
PSN1,3.5628098514457474
QGP1,5.684678663311928
RAJI,2.791689464288013
SCC4,2.9048573904082096
SKLMS1,4.506125304377212
SNU1,0.5987354520515336
SNU398,4.134600472490165
SUPM2,3.9263732832014666
SW1116,3.3340115652206843
SW1573,3.798973817171142
SW1990,5.00586895813052
SW837,3.8272927945176667
TE1,4.167627620308907
TE6,0.9603571145574343
TT2609C02,4.687605810339627
UACC62,5.148365274440092
