patient_id,ic50
22RV1,2.027153435293271
2313287,-5.3090311601259295
42MGBA,-1.753958353939147
A427,-0.9035478472600436
BFTC905,-0.9627929508064625
C32,-0.967527535868387
EFO27,-0.696333920001442
EN,-0.6370373270060685
EPLC272H,-0.6622834018046277
HCC1143,-0.8298117184265121
HCC1954,0.5459557988756139
HCC366,-0.3195825186210881
HDMYZ,-0.4663078959809219
HH,-0.1602485544930199
HL60,-0.3685361860148695
HPAC,-1.118881819054011
HSC4,-0.15209310786606078
HT1080,-1.5173196801973432
KE37,0.48235136346651114
KNS62,-2.217755524114323
KYM1,-0.19148189232214352
KYSE510,-1.667339006973805
LAMA84,-0.5087435447029058
LCLC97TM1,-1.2853766603579813
LXF289,-0.38577118257954646
MEWO,-1.2855406545345807
MV411,0.6330223188854347
NCIH1299,-0.6057144834706025
NCIH1341,-0.47348128691664626
NCIH1838,-0.9428343632323313
NCIH1876,0.3194758249554795
NCIH2052,-0.7473313702938458
NCIH596,0.6866107655884174
NCIH810,-1.0747219428689612
NCIN87,-1.188509171937219
ONS76,-0.9641052507186831
OVISE,-2.9791208790750314
PANC0403,-0.5769750417792472
PANC0813,-0.8230816518736377
PSN1,-0.07230320874354523
QGP1,1.3172524053217076
RAJI,-0.9578955922351384
SCC4,-1.2209534057309737
SKLMS1,-1.0646151740524066
SNU1,-2.5227009110712872
SNU398,-1.184257000095778
SUPM2,-0.27164993225056144
SW1116,-1.2576702302891871
SW1573,-0.6086791384241557
SW1990,-0.7028143900911445
SW837,0.16084260035888176
TE1,-1.1507420858112998
TE6,0.03827940072786762
TT2609C02,-0.23538899473226516
UACC62,-1.1038504189404605
