patient_id,ic50
22RV1,3.770998486161714
2313287,4.580781605371745
42MGBA,5.047949249586357
A427,5.751336927474524
BFTC905,4.914616914188182
C32,5.257433514273811
EFO27,5.579535519636847
EN,4.859192773170547
EPLC272H,5.154219187900618
HCC1143,4.857401061241264
HCC1954,5.279043327653209
HCC366,5.974631367687213
HDMYZ,4.884708553955576
HH,3.704227566474032
HL60,3.855454871067038
HPAC,6.092358415181819
HSC4,4.9456738454283515
HT1080,4.955103565972159
KE37,4.0950247371228174
KNS62,5.968455547450328
KYM1,4.951242637843984
KYSE510,5.082355715198174
LAMA84,4.059917189284388
LCLC97TM1,6.513214351379286
LXF289,5.037448252553386
MEWO,4.756483820700393
MV411,2.778114490025988
NCIH1299,4.7040438783485
NCIH1341,3.8364342091435293
NCIH1838,5.9917019713140824
NCIH1876,4.822101123651739
NCIH2052,5.688146653999643
NCIH596,5.68850528644151
NCIH810,5.181980837628283
NCIN87,5.981142494659384
ONS76,5.558602942862762
OVISE,5.460140967073884
PANC0403,6.107849575096767
PANC0813,6.243515363114842
PSN1,5.033305377930151
QGP1,4.8262852068468725
RAJI,3.5164363722867105
SCC4,5.62761111563135
SKLMS1,4.603412704808191
SNU1,5.536930679300964
SNU398,4.716623401091072
SUPM2,3.5609389207192512
SW1116,5.809221016622641
SW1573,5.509057487425501
SW1990,6.1615432941325965
SW837,6.636075798485649
TE1,5.610335214647696
TE6,4.3779836409498065
TT2609C02,5.865303912749716
UACC62,5.247421090987479
