patient_id,ic50
22RV1,2.5190767915280565
2313287,2.9047121575799255
42MGBA,3.6158742412368627
A427,3.261806195527854
BFTC905,2.6249536262574003
C32,4.748337767990584
EFO27,4.029109927751117
EN,3.490710290179037
EPLC272H,4.7561374884468215
HCC1143,4.035287336656751
HCC1954,3.565905019032132
HCC366,3.839889982447526
HDMYZ,4.48948642436183
HH,1.9428794588567253
HL60,2.4304032024578643
HPAC,3.912237449502248
HSC4,4.6586549323356055
HT1080,3.380149021324489
KE37,2.255821502143168
KNS62,3.5941736139545326
KYM1,3.396475860403501
KYSE510,2.865929837572822
LAMA84,2.271143186143813
LCLC97TM1,3.6826619774823572
LXF289,3.109068812487659
MEWO,4.4041866352209205
MV411,1.8952855975097223
NCIH1299,2.854488435191089
NCIH1341,3.230973053407519
NCIH1838,4.589165888918395
NCIH1876,3.7466232803164816
NCIH2052,4.061916709209595
NCIH596,4.936924976294529
NCIH810,3.9149534879192673
NCIN87,3.803376621611334
ONS76,4.2628285939290915
OVISE,3.855820892016601
PANC0403,3.4091242410996982
PANC0813,3.2957574020453086
PSN1,3.204681277013024
QGP1,4.294082962755813
RAJI,1.9901994139670065
SCC4,4.418751511434981
SKLMS1,3.4851492493377894
SNU1,1.8368402608909977
SNU398,2.830706267763258
SUPM2,2.0494249396663955
SW1116,4.655242968003427
SW1573,3.8517459195936943
SW1990,4.416142739834259
SW837,4.3148917683359675
TE1,4.472542142300027
TE6,3.7243448706987246
TT2609C02,3.960165128248914
UACC62,4.524467551573984
