patient_id,ic50
22RV1,-5.17564331978932
2313287,-4.469178632879491
42MGBA,-5.072565767063806
A427,-3.5846737469482868
BFTC905,-5.147926333195545
C32,-4.4050002372905235
EFO27,-4.902987942023371
EN,-4.242941272453783
EPLC272H,-5.418752836664359
HCC1143,-5.86808026275961
HCC1954,-5.286566990958881
HCC366,-4.3657436612758165
HDMYZ,-4.378722359348461
HH,-5.253754488341086
HL60,-5.545745193275783
HPAC,-3.7149891385480664
HSC4,-5.574360584580475
HT1080,-5.324808318044843
KE37,-5.833013577961381
KNS62,-4.787693784978668
KYM1,-5.373319844160454
KYSE510,-5.176240667365874
LAMA84,-5.443296689904125
LCLC97TM1,-3.697969811687796
LXF289,-4.237256793147641
MEWO,-5.176198739323025
MV411,-5.643850886092547
NCIH1299,-4.832302656107623
NCIH1341,-5.341707334883055
NCIH1838,-4.0680200197633045
NCIH1876,-4.447616609243022
NCIH2052,-4.5155483531333545
NCIH596,-4.509134035411738
NCIH810,-3.3761489371258184
NCIN87,-4.895128959428949
ONS76,-6.1895222574076545
OVISE,-5.265906007348687
PANC0403,-4.643291984699431
PANC0813,-4.249635153599507
PSN1,-3.3548312026475866
QGP1,-3.4888152389865175
RAJI,-5.609659397591129
SCC4,-4.744204470586326
SKLMS1,-5.114095861259758
SNU1,-4.997733757290974
SNU398,-4.4031487167857986
SUPM2,-5.869679046593303
SW1116,-3.3816359870473063
SW1573,-4.36135981204834
SW1990,-4.175680292529747
SW837,-3.9239341838056485
TE1,-4.734457458627497
TE6,-3.5785364209261674
TT2609C02,-5.161943654357885
UACC62,-5.127037236936689
