patient_id,ic50
22RV1,4.612195962519493
2313287,5.550768205202159
42MGBA,5.136568372933751
A427,4.805257997395451
BFTC905,5.263726531218302
C32,5.493907336694371
EFO27,5.905682612788225
EN,5.279731818704744
EPLC272H,4.658257040713337
HCC1143,5.155015711261652
HCC1954,4.486833395183651
HCC366,5.184821464162686
HDMYZ,5.757671341140626
HH,3.6408481898461744
HL60,4.238117868710306
HPAC,5.6589093141837
HSC4,5.254555357939393
HT1080,4.520530532571854
KE37,3.84457691806086
KNS62,5.154388016986816
KYM1,4.920747047356367
KYSE510,4.862401213170506
LAMA84,4.413929792553201
LCLC97TM1,5.776528930877422
LXF289,5.292232912526207
MEWO,5.4553123487219315
MV411,3.567421194637908
NCIH1299,4.861339398758789
NCIH1341,4.119686656223536
NCIH1838,5.509697768947052
NCIH1876,5.598161179131952
NCIH2052,5.435435612808745
NCIH596,6.096151995163041
NCIH810,4.401246730372267
NCIN87,5.406422586459465
ONS76,4.20691597743475
OVISE,5.316123085875807
PANC0403,5.9249655143772575
PANC0813,5.688565256780032
PSN1,4.670870733569908
QGP1,5.064464692692892
RAJI,3.4380276320296597
SCC4,5.135262931111058
SKLMS1,5.230036148844688
SNU1,4.380446521996643
SNU398,4.800455198485047
SUPM2,4.0689871054226074
SW1116,5.837084141703005
SW1573,5.3078064105982
SW1990,5.164977848282421
SW837,5.95803076514501
TE1,5.545217231619839
TE6,5.763693987169994
TT2609C02,5.617561664851182
UACC62,6.149234368344314
