patient_id,ic50
22RV1,-3.1440900692619644
2313287,-0.621827984937454
42MGBA,-2.1166270620733196
A427,-3.016616946416197
BFTC905,-3.110128784977317
C32,-1.638422840380084
EFO27,-1.0327540763839056
EN,-0.9985411003066238
EPLC272H,-2.305272083078425
HCC1143,-1.206008724397102
HCC1954,-1.329721272045798
HCC366,-1.8736566920789361
HDMYZ,-3.0189950691023086
HH,-3.4558048417212843
HL60,-4.376197917926396
HPAC,-0.7577851125739519
HSC4,-2.684065518509181
HT1080,-2.6888325441594327
KE37,-4.323573646017276
KNS62,-2.8008105058685318
KYM1,-3.803866168500235
KYSE510,-2.4727323272086874
LAMA84,-4.3632982625705115
LCLC97TM1,-2.983264564236912
LXF289,-2.217324584949586
MEWO,-1.553583550285073
MV411,-4.534451823293956
NCIH1299,-2.281765670821161
NCIH1341,-3.585898179726362
NCIH1838,-1.7087686037623555
NCIH1876,-3.6237581511324013
NCIH2052,-1.5688170557072239
NCIH596,0.28907185127059876
NCIH810,-2.8562982829655685
NCIN87,-1.910766463379844
ONS76,-2.9488111427740122
OVISE,-1.291320643331165
PANC0403,-0.8364063950303091
PANC0813,-1.042425582567314
PSN1,-2.604425066393323
QGP1,-2.1120726661175793
RAJI,-4.63431040169974
SCC4,-2.344081412694689
SKLMS1,-3.3004685746417897
SNU1,-1.8304534642008543
SNU398,-2.674057402431826
SUPM2,-4.352299753817262
SW1116,-1.1653560956327664
SW1573,-2.4888043220049654
SW1990,-1.9429291684093744
SW837,0.9330448535929583
TE1,-0.9225774885946683
TE6,-2.6569085724416115
TT2609C02,-3.7019775750296415
UACC62,-1.477589983961753
