patient_id,ic50
22RV1,5.354112013724957
2313287,5.530922335092935
42MGBA,6.040323786134894
A427,6.200618767678877
BFTC905,5.4989134062745615
C32,6.529901298275733
EFO27,7.17344271899798
EN,6.704946812610751
EPLC272H,5.4647479587526195
HCC1143,5.761783393353926
HCC1954,5.569691161162052
HCC366,7.29583330973572
HDMYZ,7.1851881503410695
HH,4.949112766317668
HL60,4.888941249030314
HPAC,7.3807103456077385
HSC4,6.2840384937536715
HT1080,5.464047153551653
KE37,4.9405972601445445
KNS62,6.196736099059247
KYM1,5.4114496586866245
KYSE510,5.366554314949859
LAMA84,5.02511710503126
LCLC97TM1,6.667919323114512
LXF289,6.708025202650095
MEWO,6.151309029890619
MV411,4.7254719313406355
NCIH1299,7.083817817036017
NCIH1341,5.365602208966103
NCIH1838,7.428714549235241
NCIH1876,6.1621346783274475
NCIH2052,7.222225152759915
NCIH596,7.299469456450065
NCIH810,6.108938354900184
NCIN87,7.132750313378424
ONS76,5.89777041334057
OVISE,6.841585860375485
PANC0403,7.162414818171019
PANC0813,7.2249689073652
PSN1,6.428413848001911
QGP1,7.045981215458415
RAJI,4.803241374785382
SCC4,6.6814393916096835
SKLMS1,7.294294767048562
SNU1,4.991599278457614
SNU398,5.1958019579383725
SUPM2,4.769778197468878
SW1116,7.083873140844614
SW1573,7.0109016084203475
SW1990,7.341860121675674
SW837,7.235529524479531
TE1,7.112364485369454
TE6,6.838874610592848
TT2609C02,6.772644151430223
UACC62,6.793392893014619
