patient_id,ic50
22RV1,2.0423109292351502
2313287,1.9085955316763208
42MGBA,1.5955011690656047
A427,2.442213057553726
BFTC905,1.6812913321056122
C32,2.336244908578714
EFO27,2.327039651754879
EN,2.4862031882097124
EPLC272H,2.2700442238984513
HCC1143,2.128824896081322
HCC1954,2.7453845133024495
HCC366,3.028942248435789
HDMYZ,2.078112095785195
HH,1.6832550796505688
HL60,1.6682008063745921
HPAC,2.17555379440312
HSC4,1.9177078293684977
HT1080,1.6409899900987135
KE37,1.743801503937719
KNS62,1.70099806141181
KYM1,-0.08686383843017875
KYSE510,1.6031435186337857
LAMA84,1.4276086880608463
LCLC97TM1,2.3814024607334483
LXF289,1.9552851099039397
MEWO,2.141213229451648
MV411,0.9139507100190243
NCIH1299,1.5192975183820439
NCIH1341,1.946590689099167
NCIH1838,2.9760877239077885
NCIH1876,2.99439024996921
NCIH2052,2.1576606521669373
NCIH596,2.817627644745592
NCIH810,1.6670345188995566
NCIN87,2.092411435987997
ONS76,1.5439086509160327
OVISE,2.2456710090669465
PANC0403,2.7202471010861897
PANC0813,3.0015059511035402
PSN1,2.8423160778114474
QGP1,2.577813324168846
RAJI,1.384207675879947
SCC4,2.199346352237466
SKLMS1,1.8367896574380596
SNU1,1.6374493479183294
SNU398,1.514299709842531
SUPM2,1.7812680704222759
SW1116,2.548008983978427
SW1573,2.9051687661923955
SW1990,2.540391089987942
SW837,2.724366969909672
TE1,2.6466569902888684
TE6,1.9505191175441967
TT2609C02,2.2118440875512286
UACC62,1.8807634870140724
