patient_id,ic50
22RV1,1.4600683529106588
2313287,3.7500714694466346
42MGBA,3.1802859543480313
A427,7.025062142814601
BFTC905,1.6983725311911828
C32,4.036633163448778
EFO27,5.576792272535247
EN,4.1123598823088905
EPLC272H,2.894927798933489
HCC1143,4.560252699520074
HCC1954,4.215527825482161
HCC366,4.76952361184037
HDMYZ,3.334585525864549
HH,0.43549447215723713
HL60,0.8994642429665194
HPAC,4.622275197210134
HSC4,3.4926297408708873
HT1080,3.460046822381754
KE37,0.6294247196757636
KNS62,3.538346177142409
KYM1,1.1295976857697547
KYSE510,3.78089342032115
LAMA84,1.1811293203616473
LCLC97TM1,3.2469869609480018
LXF289,4.789033338570826
MEWO,4.644887373899134
MV411,-0.012895648021820527
NCIH1299,3.0956992076465326
NCIH1341,2.5371928184499364
NCIH1838,4.806830395413196
NCIH1876,3.294931808919847
NCIH2052,5.135603454523901
NCIH596,5.571942551084841
NCIH810,2.063325505799293
NCIN87,4.569000413603786
ONS76,4.692238969123575
OVISE,5.293770252473938
PANC0403,4.890559935474749
PANC0813,4.403724877100972
PSN1,3.7281625633410456
QGP1,4.753089694495649
RAJI,0.5768348211747343
SCC4,3.2037545620923282
SKLMS1,3.7430162424710374
SNU1,2.3596497297368337
SNU398,3.396931182793297
SUPM2,-0.16721938585990914
SW1116,5.033518865078657
SW1573,4.202271542763524
SW1990,4.179314299874452
SW837,6.550150298670163
TE1,4.421209563003353
TE6,4.39525231428392
TT2609C02,2.3842976518434784
UACC62,4.428085356675012
