patient_id,ic50
22RV1,1.6243490849348492
2313287,2.3267016918446557
42MGBA,4.493767410775914
A427,3.9356180541439376
BFTC905,2.707930105294104
C32,3.79026062891913
EFO27,4.834724575722399
EN,3.839814401189881
EPLC272H,2.9499918945606023
HCC1143,4.626894114845681
HCC1954,2.8701513133094045
HCC366,4.500285385896274
HDMYZ,4.394025950145185
HH,1.3813007358595863
HL60,1.385863078549473
HPAC,3.5786413787524682
HSC4,4.270790842127882
HT1080,3.9350127720372905
KE37,1.5538423949889115
KNS62,3.61896323182612
KYM1,2.2391984590886356
KYSE510,3.7370716181779087
LAMA84,-0.18935777554760858
LCLC97TM1,2.149119433019044
LXF289,3.5067667799032542
MEWO,4.267851998790885
MV411,0.6495144523599556
NCIH1299,3.5418767309309005
NCIH1341,1.2660721362172613
NCIH1838,4.2032528676766745
NCIH1876,3.223204584496539
NCIH2052,4.7754555319581975
NCIH596,4.890363029239424
NCIH810,2.552882681031025
NCIN87,2.5706494066610066
ONS76,3.57382623239536
OVISE,4.029121551208425
PANC0403,3.3015856600686795
PANC0813,3.2164557472073585
PSN1,4.23604852138219
QGP1,2.072994742607183
RAJI,1.0451034764125475
SCC4,3.579673019452431
SKLMS1,3.362655765534549
SNU1,1.3576778047676108
SNU398,2.391239074339276
SUPM2,-0.8341667167303832
SW1116,2.7319816505662704
SW1573,3.8172624794205996
SW1990,4.625241664521737
SW837,4.472650750335182
TE1,4.095997290941325
TE6,3.654537305881612
TT2609C02,3.8895299951596973
UACC62,4.150859928356159
