patient_id,ic50
22RV1,4.885392769150487
2313287,5.013555581390223
42MGBA,4.818706365375425
A427,5.463056999296106
BFTC905,5.0339774767076815
C32,5.622242780181868
EFO27,5.774216391185939
EN,5.06357958734634
EPLC272H,5.376014895008174
HCC1143,5.157879921527952
HCC1954,5.2957384778782846
HCC366,5.80569953654318
HDMYZ,4.903287847434291
HH,4.309540878126201
HL60,4.050708000155138
HPAC,5.638039908828334
HSC4,5.00845869853152
HT1080,4.8923826923883835
KE37,4.022892254295793
KNS62,5.242989677816518
KYM1,4.75950468527286
KYSE510,4.4661258527876875
LAMA84,4.281559159290827
LCLC97TM1,6.459503705009942
LXF289,5.119462632546704
MEWO,5.272517656610931
MV411,3.87353890356591
NCIH1299,5.101838064375615
NCIH1341,4.463952852213364
NCIH1838,6.111616818048526
NCIH1876,4.830230389228365
NCIH2052,5.7280111112429335
NCIH596,6.072487928866876
NCIH810,5.474343235954313
NCIN87,5.546669126722648
ONS76,5.324209509571639
OVISE,5.729354375045168
PANC0403,5.762610222703951
PANC0813,6.073542203620309
PSN1,5.73087131692398
QGP1,5.684359103554494
RAJI,3.836647948656501
SCC4,5.285135750225865
SKLMS1,5.008629326115752
SNU1,4.692440047060935
SNU398,4.756286893898007
SUPM2,4.036541705427168
SW1116,6.047368679302909
SW1573,5.966668635774872
SW1990,6.012352039634553
SW837,6.432406124063109
TE1,5.631487217756078
TE6,4.880334913249631
TT2609C02,5.168216718573662
UACC62,5.595271669207629
