patient_id,ic50
22RV1,3.8695383826390994
2313287,4.510142257571126
42MGBA,4.802437050952036
A427,5.622218492968336
BFTC905,4.100881832389077
C32,-1.1167262427543463
EFO27,4.933699937928112
EN,5.05293169806035
EPLC272H,4.537623448258552
HCC1143,5.796350650973989
HCC1954,4.642686548973442
HCC366,5.451555615287848
HDMYZ,4.337767976160124
HH,2.9395970878405304
HL60,2.594188678335069
HPAC,5.266755265266291
HSC4,5.5764254237021085
HT1080,3.023652605768506
KE37,3.312093096311874
KNS62,4.58586632757211
KYM1,3.9883193862750144
KYSE510,4.565215142964182
LAMA84,1.9103115477713737
LCLC97TM1,5.454068752944865
LXF289,5.635463725311849
MEWO,-2.1274480204021824
MV411,2.4392562022560185
NCIH1299,4.963479515969959
NCIH1341,5.369803322019379
NCIH1838,5.420139460921946
NCIH1876,5.2554369461289925
NCIH2052,5.237671176393919
NCIH596,6.080381751421765
NCIH810,5.112920273381679
NCIN87,4.543941800794144
ONS76,3.733834218314485
OVISE,5.217064864915892
PANC0403,5.070910750870747
PANC0813,4.842225191541227
PSN1,4.594759777040349
QGP1,4.961307954294214
RAJI,2.0220166779046345
SCC4,4.941207041538944
SKLMS1,4.388522115353955
SNU1,2.9556117797514405
SNU398,4.570289519410901
SUPM2,2.485738249960081
SW1116,4.821773407456004
SW1573,5.350909181795172
SW1990,4.977225991235347
SW837,5.848625727525673
TE1,5.711402239132347
TE6,4.564738709578712
TT2609C02,4.789862705711453
UACC62,-2.843464748557773
