patient_id,ic50
22RV1,-5.211552818553252
2313287,-3.5777173299637304
42MGBA,-3.203073013839769
A427,-2.615471813780808
BFTC905,-4.599091750189859
C32,-2.621003390319578
EFO27,-2.7435821755248746
EN,-3.116142959131854
EPLC272H,-4.0180414299922225
HCC1143,-3.6947005426426553
HCC1954,-3.1085292705636998
HCC366,-3.196195750175068
HDMYZ,-4.012536897807103
HH,-4.864674311210708
HL60,-4.434783779124015
HPAC,-3.157951148296538
HSC4,-3.867510724595052
HT1080,-4.691679468737591
KE37,-5.428828329717004
KNS62,-3.5551453005309543
KYM1,-4.478655363012282
KYSE510,-3.905947970296438
LAMA84,-5.0705793571835125
LCLC97TM1,-3.7953293538692594
LXF289,-3.315789888932876
MEWO,-3.2983520115114278
MV411,-5.810096481663088
NCIH1299,-4.633683349012995
NCIH1341,-3.8028638310527607
NCIH1838,-2.058164499408114
NCIH1876,-2.7790358938228232
NCIH2052,-3.403977513726205
NCIH596,-1.9514101379634354
NCIH810,-2.529210629857274
NCIN87,-2.6431700582074242
ONS76,-4.262610029519442
OVISE,-3.4286073396267946
PANC0403,-3.029423492598616
PANC0813,-2.9224470252020547
PSN1,-3.869512363585591
QGP1,-2.1280519787462486
RAJI,-5.64449419328724
SCC4,-3.9469091643818897
SKLMS1,-3.9638111359298023
SNU1,-5.273070620112648
SNU398,-3.5842799512496217
SUPM2,-5.990017885130288
SW1116,-1.4064198835254338
SW1573,-3.431466380071641
SW1990,-3.7692927631673223
SW837,-1.9528908490518897
TE1,-2.66174343247447
TE6,-2.6622577121161357
TT2609C02,-4.455810650915094
UACC62,-2.5886484329648094
