patient_id,ic50
22RV1,-3.017265381
2313287,-2.047319267
42MGBA,-1.472859825
A427,-0.30343467
BFTC905,-2.291674551
C32,-0.035103063
EFO27,-0.300189263
EN,-1.053416221
EPLC272H,-1.990777027
HCC1143,-0.908841514
HCC1954,-1.305809244
HCC366,0.479407706
HDMYZ,-1.701224143
HH,-2.285662845
HL60,-1.824075689
HPAC,-1.140138235
HSC4,-0.055747918
HT1080,-2.196824383
KE37,-2.819302575
KNS62,-2.28443341
KYM1,-2.466300188
KYSE510,-2.013431159
LAMA84,-2.376654966
LCLC97TM1,-1.214558196
LXF289,-2.195479992
MEWO,-0.903143456
MV411,-3.2797944
NCIH1299,-1.514633931
NCIH1341,-1.900398331
NCIH1838,1.147459915
NCIH1876,0.131402808
NCIH2052,0.234638359
NCIH596,0.436313157
NCIH810,-0.708471144
NCIN87,-0.692547389
ONS76,-1.458552794
OVISE,-0.730601605
PANC0403,-0.944520343
PANC0813,0.022858186
PSN1,-2.831036814
QGP1,-0.950336906
RAJI,-2.923391951
SCC4,-1.209648639
SKLMS1,-0.956787944
SNU1,-3.706344189
SNU398,-2.696533065
SUPM2,-3.5707735
SW1116,0.060468388
SW1573,-0.457537063
SW1990,-2.310090154
SW837,0.882249116
TE1,-0.4944739
TE6,-2.598007548
TT2609C02,-1.077458336
UACC62,-1.500476444
