patient_id,ic50
22RV1,-3.044162225308128
2313287,-2.9959661309576973
42MGBA,-4.150919328894232
A427,-3.2792231306091213
BFTC905,-4.177917663368976
C32,-0.5906695045317414
EFO27,-4.102270570964631
EN,-5.158060844681805
EPLC272H,-2.6948159760612924
HCC1143,-4.218293741033422
HCC1954,-3.013747582847944
HCC366,-2.98542532243316
HDMYZ,-3.033865238726468
HH,-5.989238362697888
HL60,-4.9416589647363836
HPAC,-2.8858006576127897
HSC4,-4.535868789868804
HT1080,-4.745552217208044
KE37,-7.392905683583721
KNS62,-2.325422633026803
KYM1,-4.797544165921535
KYSE510,-3.5948804593541266
LAMA84,-6.720934296433628
LCLC97TM1,-2.023924667360192
LXF289,-4.748843322536096
MEWO,-4.189362472514897
MV411,-6.534978676541703
NCIH1299,-2.723904918384439
NCIH1341,-2.4092668011543767
NCIH1838,-1.5259837065597406
NCIH1876,-4.595298469890262
NCIH2052,-3.716805513823851
NCIH596,-1.8067916327219806
NCIH810,-3.038473947092454
NCIN87,-4.688102738191005
ONS76,-2.827129702891
OVISE,-1.289156133235457
PANC0403,-2.330804440505076
PANC0813,-3.4801392750020876
PSN1,-3.4568622478255393
QGP1,-1.7126326194072141
RAJI,-6.23062060999532
SCC4,-3.378838132013494
SKLMS1,-3.200027086634037
SNU1,-5.30492315897404
SNU398,-5.455406503612599
SUPM2,-5.250251861734613
SW1116,-2.9863463670038293
SW1573,-4.371022673367879
SW1990,-3.130318764890408
SW837,-4.3800162002146585
TE1,-3.0686849034321755
TE6,-4.845044401144825
TT2609C02,-3.9449533906000327
UACC62,-1.7677903241557233
