patient_id,ic50
22RV1,2.102787946
2313287,2.357864091
42MGBA,-0.256800623
A427,3.220561032
BFTC905,-0.381702875
C32,3.999860121
EFO27,-1.14386795
EN,3.583633254
EPLC272H,-0.878511814
HCC1143,-0.271131821
HCC1954,2.469703302
HCC366,0.668264956
HDMYZ,1.318668532
HH,2.187917168
HL60,0.576392773
HPAC,0.614782048
HSC4,-0.872351021
HT1080,0.994587967
KE37,1.103414545
KNS62,0.139310214
KYM1,0.906549388
KYSE510,0.24629365
LAMA84,-5.914136371
LCLC97TM1,1.550651906
LXF289,0.161204848
MEWO,3.933115794
MV411,1.532316394
NCIH1299,0.876097457
NCIH1341,3.517995292
NCIH1838,2.084671853
NCIH1876,3.008268704
NCIH2052,1.397721013
NCIH596,1.000042201
NCIH810,2.348851217
NCIN87,1.644676818
ONS76,-0.852608582
OVISE,-0.862583679
PANC0403,0.884299097
PANC0813,1.323937565
PSN1,1.574764893
QGP1,3.793703832
RAJI,0.085147756
SCC4,-0.947466057
SKLMS1,0.914349775
SNU1,2.53951504
SNU398,3.11449438
SUPM2,1.847931789
SW1116,1.93377616
SW1573,0.846387781
SW1990,-0.583548756
SW837,1.851458123
TE1,-0.473274422
TE6,0.102072699
TT2609C02,1.596339636
UACC62,3.036866577
