patient_id,ic50
22RV1,-3.396077416306375
2313287,-2.933501646189779
42MGBA,-1.9360241469991992
A427,-3.2082693376233387
BFTC905,-2.9974023994500003
C32,-1.9528853334188745
EFO27,-1.6812264547366802
EN,-2.4253710854514536
EPLC272H,-2.8481966142856185
HCC1143,-1.8687704665489906
HCC1954,-2.476558863292127
HCC366,-1.6916745559752422
HDMYZ,-2.6386619442490766
HH,-3.5780083201909405
HL60,-3.667387889948813
HPAC,-1.7960424459712956
HSC4,-2.2753990304221787
HT1080,-2.912059445158411
KE37,-3.976263290852089
KNS62,-2.2157592908304187
KYM1,-2.828557028694317
KYSE510,-3.352550973222617
LAMA84,-3.4913684385163437
LCLC97TM1,-1.8034291426185403
LXF289,-2.3363351315277843
MEWO,-2.857006015231111
MV411,-3.8933155999178384
NCIH1299,-3.366145360087481
NCIH1341,-3.55207382489538
NCIH1838,-1.595215501712751
NCIH1876,-2.368208809964474
NCIH2052,-1.5767723678865948
NCIH596,-1.3447272776142396
NCIH810,-2.2717183358857826
NCIN87,-2.7243687876875056
ONS76,-1.7306895390243793
OVISE,-2.8324993378268
PANC0403,-2.2146653522459263
PANC0813,-2.205491946299065
PSN1,-2.587875269383823
QGP1,-2.1815077120663355
RAJI,-3.7414953668907316
SCC4,-2.835660316410657
SKLMS1,-2.0837257646978307
SNU1,-3.8206732211738323
SNU398,-3.580744109843825
SUPM2,-4.382188525925737
SW1116,-1.6480661207432137
SW1573,-2.6046616801638414
SW1990,-0.6381212983235482
SW837,-0.7718899481157699
TE1,-2.0078402362249665
TE6,-3.2795191968073727
TT2609C02,-1.1117894932569121
UACC62,-2.592917116482849
