patient_id,ic50
22RV1,-4.807373905168056
2313287,-4.0681870412740455
42MGBA,-4.141578135853811
A427,-2.8295398672127425
BFTC905,-5.885280098180994
C32,-0.6291702594981952
EFO27,-3.714518174659354
EN,-1.9329715161646597
EPLC272H,-5.158785222225303
HCC1143,-4.426944960337519
HCC1954,-4.324239817287051
HCC366,-2.9893081397798182
HDMYZ,-2.816249657191633
HH,-4.699645604218127
HL60,-4.919167907918148
HPAC,-5.267009669056009
HSC4,-4.793108502776251
HT1080,-3.1027213159671283
KE37,-5.206533453098274
KNS62,-4.504205872525133
KYM1,-3.277895059345705
KYSE510,-6.491610918908089
LAMA84,-5.644946371522082
LCLC97TM1,-2.946763862895987
LXF289,-5.312407926514355
MEWO,-2.3989561576378797
MV411,-5.493969949132669
NCIH1299,-4.8221264856282655
NCIH1341,-3.800327893482797
NCIH1838,-1.7766501799178225
NCIH1876,-2.8602274075198233
NCIH2052,-2.120219283524534
NCIH596,-1.7043111159586786
NCIH810,-3.566949375215054
NCIN87,-3.76732277757952
ONS76,-5.059396450429209
OVISE,-1.1853030496146961
PANC0403,-1.5738941879218407
PANC0813,-1.814071166731521
PSN1,-2.6527754196351054
QGP1,-1.648818618881796
RAJI,-5.528985200042502
SCC4,-4.793914585304327
SKLMS1,-3.1398672598881445
SNU1,-4.018821511598072
SNU398,-3.7958527321126345
SUPM2,-5.3135403100805405
SW1116,-2.425603875513285
SW1573,-2.8977244588945528
SW1990,-1.420145954893517
SW837,-0.8306871667574267
TE1,-2.8646796666386587
TE6,-4.734527289467353
TT2609C02,-2.469109497343642
UACC62,-1.6159786182647387
