patient_id,ic50
22RV1,6.341492336044918
2313287,5.793553148727964
42MGBA,4.305312202081443
A427,5.953080589064216
BFTC905,5.438344896106103
C32,5.075631233491881
EFO27,5.214990074805771
EN,6.011177451821118
EPLC272H,4.983076920987004
HCC1143,4.738405070744769
HCC1954,5.136052105422663
HCC366,5.1790770955103165
HDMYZ,5.051865774078898
HH,6.082968109592964
HL60,7.265606441452997
HPAC,5.141118939550008
HSC4,4.97025233414566
HT1080,4.875783610787362
KE37,5.644492883544808
KNS62,5.4321052719607055
KYM1,6.018684151456694
KYSE510,5.852305404219231
LAMA84,5.668394602342044
LCLC97TM1,5.209362774550344
LXF289,4.744590478682972
MEWO,5.480093941769333
MV411,6.491332625316636
NCIH1299,5.539412025645005
NCIH1341,5.098523300659588
NCIH1838,5.191196735636658
NCIH1876,5.27857178621438
NCIH2052,4.922002681549411
NCIH596,4.98238229085519
NCIH810,7.4247581817744415
NCIN87,5.346161883336646
ONS76,4.859072517371883
OVISE,5.350027819769635
PANC0403,5.643575679107463
PANC0813,4.754625462477751
PSN1,5.282269493072198
QGP1,7.773370842262528
RAJI,6.616274170328418
SCC4,5.108626392269803
SKLMS1,4.932902164876853
SNU1,6.1869319489625045
SNU398,6.388890986414886
SUPM2,6.152249402394062
SW1116,5.277115068580809
SW1573,5.4137177303658985
SW1990,5.64827818184698
SW837,5.154528708230202
TE1,4.987327157932016
TE6,5.773931274937967
TT2609C02,5.405001889246598
UACC62,5.5642290020481315
