patient_id,ic50
22RV1,4.6230004536994205
2313287,5.167210895887774
42MGBA,4.9625836448493015
A427,5.361121187017622
BFTC905,4.749568635798915
C32,5.712992205361349
EFO27,5.468547711228414
EN,5.271564539948053
EPLC272H,5.311095557322941
HCC1143,5.762262661697542
HCC1954,4.775885825977909
HCC366,5.765207981404823
HDMYZ,5.221808563692255
HH,3.4442696871747795
HL60,4.258239824609492
HPAC,5.4151786149613805
HSC4,5.457569978993494
HT1080,5.051313227415647
KE37,4.069383389339017
KNS62,5.338637832331868
KYM1,4.704182112454227
KYSE510,4.5876112113659415
LAMA84,4.3659717699488105
LCLC97TM1,5.974551232443797
LXF289,5.614523383885455
MEWO,5.2569496473740696
MV411,3.697617877394727
NCIH1299,4.790580388852183
NCIH1341,4.51864213275917
NCIH1838,6.180767727656938
NCIH1876,5.051461719609106
NCIH2052,5.918137017559307
NCIH596,6.19041339827727
NCIH810,4.972172677259653
NCIN87,5.241964998805243
ONS76,5.486129149045859
OVISE,5.87182335209494
PANC0403,6.23361886775758
PANC0813,5.971852540140372
PSN1,5.677816010075654
QGP1,5.66249244086993
RAJI,3.354886173070132
SCC4,5.558335561259567
SKLMS1,5.466810728981229
SNU1,4.231598049706803
SNU398,4.727608129541324
SUPM2,3.57573231837938
SW1116,5.866182976405377
SW1573,5.502792140755169
SW1990,6.188878711979948
SW837,6.45862769550523
TE1,5.623648172918235
TE6,5.057553070802867
TT2609C02,5.505967239412716
UACC62,5.379296189718752
