patient_id,ic50
22RV1,2.39338699962837
2313287,3.4673648449791568
42MGBA,3.838838754677619
A427,5.507597885127225
BFTC905,3.407482641890353
C32,4.792659815587459
EFO27,4.05069459556037
EN,3.666081517583109
EPLC272H,2.974282686376104
HCC1143,4.171395217103634
HCC1954,3.690954311473071
HCC366,4.313404829698806
HDMYZ,3.4846543688880742
HH,3.1123388227376028
HL60,2.371075379871244
HPAC,4.911066325149295
HSC4,3.272814869097973
HT1080,3.08586835878359
KE37,1.7927703327327988
KNS62,4.7565948200803545
KYM1,2.2515077858813384
KYSE510,3.72052117439614
LAMA84,1.9482436279787114
LCLC97TM1,4.862620696739987
LXF289,4.209188404626323
MEWO,4.010012701164116
MV411,1.930469044743638
NCIH1299,3.719571358185842
NCIH1341,2.728718125354144
NCIH1838,4.09928921555207
NCIH1876,3.3509979308531577
NCIH2052,5.023854411497079
NCIH596,4.709975288226564
NCIH810,2.6519798551996603
NCIN87,4.016065971487667
ONS76,3.071178021632569
OVISE,3.4106199674986413
PANC0403,3.979934391165041
PANC0813,4.492569324798541
PSN1,4.059234671713532
QGP1,3.991836075424533
RAJI,1.8312791426945736
SCC4,3.7025232802855608
SKLMS1,3.3311557153708233
SNU1,2.248757805074078
SNU398,3.4905909768523493
SUPM2,1.311173101122138
SW1116,5.386266704622506
SW1573,4.806555619567315
SW1990,4.885712332611974
SW837,5.211519455249161
TE1,3.97151465928081
TE6,4.4267384597987025
TT2609C02,4.176024672589642
UACC62,3.838707051985805
