patient_id,ic50
22RV1,3.7846679009155286
2313287,3.315124346875693
42MGBA,3.393209913239728
A427,4.04128052466623
BFTC905,3.6696784685093924
C32,4.588768617580286
EFO27,4.033138230212318
EN,3.8149773840083596
EPLC272H,3.857082189351786
HCC1143,3.3893602793766817
HCC1954,4.098852754244618
HCC366,3.6747687566254466
HDMYZ,4.037683634209586
HH,2.8812619848632997
HL60,2.545867303519218
HPAC,3.5976989575908553
HSC4,4.137566805898383
HT1080,3.3502352166566114
KE37,3.151984547587427
KNS62,3.6361350528828877
KYM1,2.7457518155913845
KYSE510,3.0310784719773123
LAMA84,3.098661791831577
LCLC97TM1,4.6950091317280975
LXF289,3.4061307164301935
MEWO,3.90247012043315
MV411,1.879522827106398
NCIH1299,3.306086824879609
NCIH1341,3.776716832610097
NCIH1838,3.915006881905192
NCIH1876,4.459480558983424
NCIH2052,4.813509313074055
NCIH596,3.8635512104999328
NCIH810,4.11142873767837
NCIN87,4.574310166764905
ONS76,3.801931588335004
OVISE,3.8755410659697564
PANC0403,3.63049531128846
PANC0813,4.118369703439764
PSN1,4.417339697310997
QGP1,4.278749910628589
RAJI,1.8200200363877626
SCC4,3.184259575809725
SKLMS1,3.4526155131514042
SNU1,2.6924706798724554
SNU398,2.8937886450047205
SUPM2,1.6364094785254508
SW1116,4.876844263518462
SW1573,4.547455174024082
SW1990,4.218500002159779
SW837,4.8552897912873565
TE1,3.9152742408391736
TE6,3.480050368914381
TT2609C02,4.287041231964894
UACC62,4.298510229648559
