patient_id,ic50
22RV1,3.8391018273942534
2313287,5.520787799238966
42MGBA,5.2919357029521406
A427,5.309667470547198
BFTC905,5.6969520666419795
C32,4.973154255487143
EFO27,5.884093392087655
EN,5.899744164974063
EPLC272H,5.483535156401792
HCC1143,5.581709435427243
HCC1954,5.606902770283299
HCC366,5.810317724510632
HDMYZ,4.988225277711446
HH,3.235926223210296
HL60,2.2795140424187563
HPAC,5.956690033012258
HSC4,6.340035114640129
HT1080,5.413819621003353
KE37,1.06831296478516
KNS62,4.978999289243478
KYM1,4.996814454957533
KYSE510,5.521415090786554
LAMA84,0.5627332431732244
LCLC97TM1,3.763158393503576
LXF289,4.918450094257034
MEWO,5.1294967010879855
MV411,1.1872340917161899
NCIH1299,4.290884117781871
NCIH1341,5.043482292867419
NCIH1838,5.52002644468815
NCIH1876,5.7761389458492065
NCIH2052,5.420734507108721
NCIH596,6.615272859024398
NCIH810,4.913444616441388
NCIN87,5.661658081172591
ONS76,6.393399060980325
OVISE,6.324346634092718
PANC0403,4.840425315075585
PANC0813,5.3867894036900195
PSN1,5.194484006121759
QGP1,5.714861946875667
RAJI,3.505076506622789
SCC4,5.797551556099268
SKLMS1,4.457641597263988
SNU1,3.9514737565008753
SNU398,3.9972278332244775
SUPM2,4.538637528196479
SW1116,6.393449718521292
SW1573,6.028555155856216
SW1990,5.176141726902314
SW837,6.091956216484264
TE1,6.734891321043794
TE6,5.3197429426133755
TT2609C02,5.188049732155535
UACC62,5.433215095330022
