patient_id,ic50
22RV1,2.7233696908458107
2313287,3.1262369625746493
42MGBA,3.6530455133879793
A427,3.5044084502176625
BFTC905,3.696362554208638
C32,3.928724443077543
EFO27,4.265624598076359
EN,3.772044006483724
EPLC272H,3.7799107223743724
HCC1143,3.665196534209574
HCC1954,3.6226798750035596
HCC366,4.329821681530611
HDMYZ,4.000919055351318
HH,2.527429140372346
HL60,2.642322288099909
HPAC,4.3224563846825665
HSC4,3.5173236695032095
HT1080,3.854919709233325
KE37,2.7801050209677487
KNS62,3.8541323120539452
KYM1,3.5667942220593822
KYSE510,2.84855286030506
LAMA84,2.6419451602845863
LCLC97TM1,3.707207183602491
LXF289,3.9768547320152
MEWO,3.514215608958839
MV411,2.1586611263876287
NCIH1299,3.773742488884441
NCIH1341,3.1091875820167023
NCIH1838,4.969721465095905
NCIH1876,3.791775769842356
NCIH2052,5.394434107711469
NCIH596,4.629898210561321
NCIH810,3.12032796840701
NCIN87,3.156690019930301
ONS76,3.5592387831930266
OVISE,4.107810225239645
PANC0403,3.661252557529353
PANC0813,4.095727054454997
PSN1,3.421155905650374
QGP1,3.8079245588256283
RAJI,2.4433159153459085
SCC4,3.5150105370733087
SKLMS1,4.280203735393696
SNU1,2.3311607824317546
SNU398,3.729923320364742
SUPM2,2.3874159674224984
SW1116,4.126913898660508
SW1573,5.0596938140963825
SW1990,4.847928271856089
SW837,4.72347038644019
TE1,4.462716233323791
TE6,3.5390920864992914
TT2609C02,4.363645767330036
UACC62,4.163929840261406
