patient_id,ic50
22RV1,2.3658729908143252
2313287,3.887194291146585
42MGBA,4.4821768132465145
A427,2.3465916507849762
BFTC905,4.526760470359108
C32,5.475209956679229
EFO27,4.844810971338744
EN,4.354082011138258
EPLC272H,5.131669280676556
HCC1143,3.2234429739194175
HCC1954,3.9378555948372735
HCC366,5.342497120777912
HDMYZ,4.967672175213152
HH,2.8685149724033705
HL60,3.9873368845256936
HPAC,5.321410584689115
HSC4,4.229384241882013
HT1080,4.000976480613631
KE37,2.387174209203793
KNS62,4.312632703954586
KYM1,3.2331312458821886
KYSE510,3.185406718630614
LAMA84,3.512126238469467
LCLC97TM1,5.151255593212172
LXF289,4.491682014803758
MEWO,3.9181861123390984
MV411,3.0818978196313447
NCIH1299,4.287498389859797
NCIH1341,3.0578379621424396
NCIH1838,5.519614979286669
NCIH1876,4.571858602927278
NCIH2052,5.4309822635259035
NCIH596,5.072167835161475
NCIH810,4.429274489370652
NCIN87,5.136553747398592
ONS76,4.489801584620283
OVISE,4.213758853553392
PANC0403,5.0085105907300775
PANC0813,5.065506966251361
PSN1,4.412529426748314
QGP1,4.600872699549061
RAJI,3.0839079663090176
SCC4,4.55929521110371
SKLMS1,4.346580692858357
SNU1,2.3152560934370054
SNU398,3.2849910584428086
SUPM2,2.859151420780029
SW1116,5.5386301534712254
SW1573,5.523702229433759
SW1990,6.223566284897139
SW837,5.911767013996356
TE1,5.1743541922462635
TE6,2.6523600108795264
TT2609C02,4.867258642375659
UACC62,5.3461641093933405
