patient_id,ic50
22RV1,2.066469921777338
2313287,2.4520838631856505
42MGBA,2.8753101023984398
A427,2.3213011396607754
BFTC905,3.0452777991823177
C32,2.8984644937679396
EFO27,3.676197428345221
EN,2.997605708649412
EPLC272H,2.8449857436289188
HCC1143,3.3885988039764205
HCC1954,2.665296335092524
HCC366,3.814423365956836
HDMYZ,3.0667035658057724
HH,1.2165465629005914
HL60,1.9810060640046319
HPAC,3.2492465673523125
HSC4,3.0390699732914745
HT1080,2.0965028791696336
KE37,1.8993537166062688
KNS62,3.240587673455842
KYM1,2.2958577289266593
KYSE510,2.906729664835025
LAMA84,2.070701663557459
LCLC97TM1,2.548439497510334
LXF289,2.9701909120729892
MEWO,3.228868070661556
MV411,0.9544625329023952
NCIH1299,2.8382981633553954
NCIH1341,2.367182365707335
NCIH1838,3.5925471812140426
NCIH1876,2.783914072893615
NCIH2052,3.44091110184572
NCIH596,4.224506538936169
NCIH810,2.210205698944647
NCIN87,2.9683699520537523
ONS76,3.5266867000756146
OVISE,2.3050836930219716
PANC0403,3.285071507845643
PANC0813,3.027421645859728
PSN1,3.300625740110636
QGP1,3.0575850632211528
RAJI,0.7318353945416383
SCC4,3.0658442792121523
SKLMS1,2.966882105925296
SNU1,2.250500199334447
SNU398,2.2883996473607082
SUPM2,1.8479716742433623
SW1116,3.2270724388745204
SW1573,3.2149359713573036
SW1990,3.7560961082871653
SW837,4.000340049933413
TE1,3.331829102152581
TE6,2.7798511296044603
TT2609C02,2.6803311324022676
UACC62,2.963880840566574
