patient_id,ic50
22RV1,2.2362561592340513
2313287,3.0962746106053647
42MGBA,2.906417484271687
A427,2.894649915883719
BFTC905,2.5887439484498045
C32,2.912381641881407
EFO27,3.7455024889190334
EN,2.8668596166303164
EPLC272H,2.183026499353706
HCC1143,2.5468514068338592
HCC1954,2.5332456116695994
HCC366,3.548967830469005
HDMYZ,3.1425335994989165
HH,1.7488914202781447
HL60,1.331294225834232
HPAC,3.41690753384475
HSC4,2.4212271174504245
HT1080,2.788145371185845
KE37,1.6356465075928546
KNS62,2.7380473347418475
KYM1,2.4921306318511323
KYSE510,2.945983063622694
LAMA84,1.8094718820809423
LCLC97TM1,2.877030492747832
LXF289,3.19237293437489
MEWO,2.6080970866218625
MV411,1.1713164684888064
NCIH1299,2.5958800046874564
NCIH1341,1.9481686532414408
NCIH1838,2.7078195881686935
NCIH1876,1.540561075964923
NCIH2052,3.8805486814997763
NCIH596,3.0342798545511935
NCIH810,2.032665060815004
NCIN87,3.1235316820885233
ONS76,3.066165673625355
OVISE,2.740628846588479
PANC0403,3.2156073444936952
PANC0813,3.3846330879466144
PSN1,2.3280857821099987
QGP1,2.2559769156844034
RAJI,1.6259850346370464
SCC4,2.5049430990457213
SKLMS1,2.897257334591387
SNU1,2.422610502380301
SNU398,1.9685017686731276
SUPM2,1.9611836858806555
SW1116,3.022668232801027
SW1573,3.1115628188814113
SW1990,2.9833456444182014
SW837,3.456616316793981
TE1,2.7304773076925004
TE6,2.7521113958597887
TT2609C02,3.073900664020898
UACC62,2.769771944352572
