patient_id,ic50
22RV1,2.566122411026003
2313287,2.3155326793080517
42MGBA,4.081493047290837
A427,3.9990618785641656
BFTC905,1.2223213252743068
C32,4.324887117064927
EFO27,3.1235860571079455
EN,3.9515223206094787
EPLC272H,0.8128787285771231
HCC1143,1.7463301277490388
HCC1954,2.362148698039558
HCC366,3.3413360421307656
HDMYZ,4.437715771570783
HH,2.1350670915800785
HL60,2.105962826619211
HPAC,3.366447573997626
HSC4,1.8150782737947546
HT1080,3.176388145797852
KE37,2.377904205424735
KNS62,1.604000319609192
KYM1,3.5873473206831896
KYSE510,1.2644812532686693
LAMA84,3.1795502984108626
LCLC97TM1,3.742093871382292
LXF289,2.268434899417376
MEWO,3.4549991271387213
MV411,1.911810415464183
NCIH1299,3.9262079923447946
NCIH1341,3.1036030883966386
NCIH1838,2.31101955032471
NCIH1876,4.2889612783808975
NCIH2052,4.2568041675119535
NCIH596,3.1909610019846353
NCIH810,3.094766467766847
NCIN87,4.090719766145229
ONS76,3.6818584901190112
OVISE,1.6387052097236994
PANC0403,3.686126340874421
PANC0813,3.8953074010910145
PSN1,4.083022428936997
QGP1,4.1342964797268476
RAJI,1.9837132191945708
SCC4,2.0493025848794164
SKLMS1,3.8804130267128243
SNU1,3.4380368646536055
SNU398,3.113247997812835
SUPM2,2.4700786945987616
SW1116,3.4893585731976824
SW1573,4.626465318983335
SW1990,3.595221000876081
SW837,4.878726424084301
TE1,2.940928756173616
TE6,2.367959837898164
TT2609C02,3.988337621873414
UACC62,4.832481382727622
