patient_id,ic50
22RV1,-0.579380499571046
2313287,3.310933297940721
42MGBA,-0.24628762902102408
A427,-1.9111205222439775
BFTC905,-2.3223677895587405
C32,1.9976946712755563
EFO27,1.7609052593028551
EN,-0.0032751631356007227
EPLC272H,-0.4016537931507207
HCC1143,1.7510628758475748
HCC1954,2.127275746405913
HCC366,-0.08031037602468337
HDMYZ,-2.4470924060721275
HH,-3.3801656776712794
HL60,-2.6429722139052885
HPAC,2.864768112060369
HSC4,0.3213939704775424
HT1080,-0.9432525068577602
KE37,-3.3905494027508616
KNS62,2.249170209652609
KYM1,-3.5567537456559144
KYSE510,-0.8818067200990412
LAMA84,-4.512777271733691
LCLC97TM1,-0.10780437415591626
LXF289,1.6636043737332238
MEWO,2.672801509790034
MV411,-4.675319076741824
NCIH1299,-2.9403004373623896
NCIH1341,-0.19094537536673228
NCIH1838,0.13375127785987728
NCIH1876,-1.6303504614473312
NCIH2052,1.7056996147543977
NCIH596,3.9504951913820405
NCIH810,0.5181466997780011
NCIN87,1.098902056689976
ONS76,0.6347944967570252
OVISE,2.5080631484194065
PANC0403,1.888170755376972
PANC0813,0.5939966582736997
PSN1,-1.1837324436604717
QGP1,0.8704073370093051
RAJI,-3.9080432014348254
SCC4,0.5136566809129357
SKLMS1,-2.04393574426586
SNU1,-1.0611352191776457
SNU398,-1.9529493108093532
SUPM2,-4.887611088898137
SW1116,3.5904166887515805
SW1573,0.3750128851354276
SW1990,1.4175327684288304
SW837,4.613761245104005
TE1,-0.2327744529551677
TE6,1.1345378973302034
TT2609C02,-2.977428985245125
UACC62,2.0200722896738634
