patient_id,ic50
22RV1,2.4444077025771387
2313287,3.4835479039858344
42MGBA,2.735841488132097
A427,4.651761396515762
BFTC905,3.372408656326106
C32,4.0657328123803405
EFO27,5.459311918133067
EN,4.189908648307365
EPLC272H,5.198828606859839
HCC1143,4.4074270067491055
HCC1954,4.398026684356039
HCC366,4.038582023951875
HDMYZ,3.1743261773668605
HH,2.0817757798310383
HL60,1.6679058893601484
HPAC,3.722113994877295
HSC4,3.97564690176139
HT1080,3.0006309193473437
KE37,0.941100553581554
KNS62,3.8532628847737906
KYM1,2.3755525260817416
KYSE510,3.015409790102523
LAMA84,1.5633345484498433
LCLC97TM1,3.0460830113757904
LXF289,2.7009843175132255
MEWO,3.447658073593521
MV411,0.0856021928391173
NCIH1299,2.89555390229908
NCIH1341,2.8497004257809397
NCIH1838,4.800948114836834
NCIH1876,3.0631073950540126
NCIH2052,3.727136531239887
NCIH596,5.072454081481046
NCIH810,2.6441456741805283
NCIN87,3.6512908966891566
ONS76,3.8141316823840814
OVISE,4.369478301368678
PANC0403,3.81919812785756
PANC0813,3.640589931078155
PSN1,2.8854169475991482
QGP1,3.943289908591555
RAJI,0.9377758834911578
SCC4,4.241361542589498
SKLMS1,3.041283953991874
SNU1,1.020301855430655
SNU398,2.183848326982587
SUPM2,1.0802049399574103
SW1116,3.6966413305637245
SW1573,5.009536204422087
SW1990,4.974190948827665
SW837,3.9650880899761045
TE1,4.307543229977195
TE6,4.605652621260852
TT2609C02,3.1451861494429343
UACC62,4.130821472661189
