patient_id,ic50
22RV1,3.0758662677021933
2313287,3.9291057771656446
42MGBA,4.896000514783982
A427,5.577335935370512
BFTC905,4.463268894707821
C32,4.982227544701153
EFO27,5.691108250901541
EN,4.431690674422147
EPLC272H,5.343131042795631
HCC1143,4.653345245752685
HCC1954,5.460298567823857
HCC366,5.631473576819245
HDMYZ,4.586024693348911
HH,2.4816929706362467
HL60,2.490310616967238
HPAC,4.861051530700298
HSC4,5.114627034777241
HT1080,3.8143730114697423
KE37,2.500104425341791
KNS62,4.567007148820764
KYM1,2.9981210341941833
KYSE510,3.9458119033547265
LAMA84,2.6161880827730144
LCLC97TM1,4.777067412594046
LXF289,4.720321300534339
MEWO,4.284579988448657
MV411,2.475338393151863
NCIH1299,4.266259178346552
NCIH1341,2.9704569748784424
NCIH1838,5.626493146533528
NCIH1876,3.748732390124654
NCIH2052,5.2699319686855945
NCIH596,5.5267188730757955
NCIH810,3.8831129921788525
NCIN87,4.584651095030539
ONS76,3.4022057758754394
OVISE,5.282776471965837
PANC0403,5.603249137054096
PANC0813,5.536418505346576
PSN1,5.439344378248139
QGP1,4.832878569006293
RAJI,2.476407349443587
SCC4,5.152046722296804
SKLMS1,4.730602639437334
SNU1,2.643987030048436
SNU398,4.353535291481988
SUPM2,2.4665929109354865
SW1116,5.178855547482906
SW1573,5.394105149398741
SW1990,5.631026075932816
SW837,5.717775881107753
TE1,5.535472633944319
TE6,4.2309111370757275
TT2609C02,5.060588420765674
UACC62,4.938482445805367
