patient_id,ic50
22RV1,1.9821959971999517
2313287,2.9728091295888954
42MGBA,2.881729810935055
A427,2.5275400230078806
BFTC905,2.3338741494876016
C32,3.1327209106224903
EFO27,3.5540179990581713
EN,2.708483462439226
EPLC272H,2.5861135164579188
HCC1143,2.601702697443392
HCC1954,2.7605480246535374
HCC366,2.9223063584984454
HDMYZ,3.4554721973343683
HH,1.635866962482344
HL60,1.7562760650688871
HPAC,2.972948955764528
HSC4,3.087263594142681
HT1080,2.457402983667095
KE37,1.7880090851711663
KNS62,3.076090414220419
KYM1,2.3324068548324806
KYSE510,2.619981283318451
LAMA84,2.257706855509259
LCLC97TM1,3.3965611772705513
LXF289,2.239493309852394
MEWO,3.1889370721775037
MV411,1.4624391546145303
NCIH1299,2.499043334079221
NCIH1341,1.6405013624193268
NCIH1838,3.0968969698640816
NCIH1876,2.6306684266271136
NCIH2052,3.378545673041909
NCIH596,3.411348594477241
NCIH810,1.8943721655123982
NCIN87,3.6774272342093863
ONS76,1.9350966786918877
OVISE,3.622061666326558
PANC0403,3.4801825534529955
PANC0813,3.425796589935941
PSN1,3.3158887599235154
QGP1,3.1507590356617863
RAJI,1.167862444400628
SCC4,2.5523178675923894
SKLMS1,3.0467643963927586
SNU1,1.9889914067795686
SNU398,2.4750817968953864
SUPM2,1.804120255133163
SW1116,3.778778350114104
SW1573,3.577511219587418
SW1990,3.792636893237923
SW837,4.313851206531486
TE1,3.091955588135791
TE6,2.8435351851052966
TT2609C02,3.367561975836234
UACC62,3.4299973981458924
