patient_id,ic50
22RV1,4.358889525430355
2313287,3.5578167615872553
42MGBA,5.281376598980277
A427,6.909115736540745
BFTC905,2.24535236465179
C32,5.363436493320892
EFO27,5.132019742718388
EN,5.346795853961081
EPLC272H,1.4605906808370643
HCC1143,1.2124130260812072
HCC1954,2.9949796935524766
HCC366,4.754786437400562
HDMYZ,6.094275048432184
HH,3.093496101930254
HL60,3.126209229729952
HPAC,5.626204457042929
HSC4,1.4704653299069927
HT1080,5.714547112701403
KE37,3.772723701731268
KNS62,2.8757969456657295
KYM1,4.595512746049263
KYSE510,0.86839351999347425
LAMA84,2.4793866525034884
LCLC97TM1,6.305794241726792
LXF289,3.5009517458677366
MEWO,3.8511481005030905
MV411,2.5882357348954885
NCIH1299,5.646409538840274
NCIH1341,3.2651823237590234
NCIH1838,4.157700794294836
NCIH1876,5.00376880227129
NCIH2052,5.912493157433255
NCIH596,4.25985235072925
NCIH810,4.459074154547619
NCIN87,4.919601735214444
ONS76,2.885487668296114
OVISE,3.684178939332695
PANC0403,5.472883257851398
PANC0813,5.885569153760923
PSN1,6.0086994325338265
QGP1,6.118830110133516
RAJI,3.0633901318396006
SCC4,2.422520004711651
SKLMS1,5.700567288118783
SNU1,3.887671668938615
SNU398,3.1678412625468786
SUPM2,3.037039992874848
SW1116,5.292627633372417
SW1573,5.06499963077583
SW1990,5.631733665179294
SW837,6.180908266797518
TE1,3.0431464435531494
TE6,0.21535222020573652
TT2609C02,6.029930351063893
UACC62,5.656505826466203
