patient_id,ic50
22RV1,0.9937969758094596
2313287,2.5194537305189466
42MGBA,3.0438001628677265
A427,5.519809429575416
BFTC905,3.40943675467852
C32,3.826320643533042
EFO27,2.8676269773924643
EN,3.30735471770129
EPLC272H,3.543555559609307
HCC1143,3.829469598985029
HCC1954,2.820038763955469
HCC366,5.448722750444622
HDMYZ,3.871087128770558
HH,3.9488787047543896
HL60,2.287110109072117
HPAC,3.4481495249340326
HSC4,3.1548058677242694
HT1080,3.7284843306352173
KE37,0.5853568502870581
KNS62,3.238526978473942
KYM1,2.574692619250584
KYSE510,3.2299904539319226
LAMA84,3.7555405790728273
LCLC97TM1,5.1945590917243365
LXF289,3.948812631426576
MEWO,4.402828679512656
MV411,1.8554696700792332
NCIH1299,3.5769488557157687
NCIH1341,1.6123888294590425
NCIH1838,4.954885596028684
NCIH1876,3.797914636135544
NCIH2052,4.429768676924405
NCIH596,4.451582001119987
NCIH810,2.673024695806675
NCIN87,3.4156727789825645
ONS76,3.620242761491786
OVISE,4.583091089921588
PANC0403,3.866932884978777
PANC0813,5.068901018133747
PSN1,5.4281417340849
QGP1,3.94565227885916
RAJI,3.012143176532521
SCC4,3.8167670943611633
SKLMS1,3.263742014418261
SNU1,1.0627031901052995
SNU398,3.750752784587187
SUPM2,3.4859692493302186
SW1116,4.91819965903476
SW1573,4.586059353967741
SW1990,5.05309059155781
SW837,4.5122446957279205
TE1,3.755697113894921
TE6,3.256996800244519
TT2609C02,4.315516097977384
UACC62,3.3959142796381063
