patient_id,ic50
22RV1,0.5782715358638741
2313287,3.917319483724447
42MGBA,2.119188268861752
A427,5.210267246137878
BFTC905,0.7550975893478462
C32,2.9798248597752646
EFO27,4.074116966307864
EN,3.4934267542018635
EPLC272H,2.0234535209450897
HCC1143,2.552688362310467
HCC1954,3.258234333738457
HCC366,3.815435743289421
HDMYZ,1.711396378899452
HH,0.84236890040509
HL60,1.7893040939418978
HPAC,3.685105180878202
HSC4,1.312077423414284
HT1080,2.0688462827804974
KE37,-0.1993105094306875
KNS62,2.234679250641675
KYM1,1.082647472888184
KYSE510,2.015804594517716
LAMA84,0.901309392640604
LCLC97TM1,1.1468329762765284
LXF289,3.60867103192509
MEWO,3.6971207932119694
MV411,0.5262941880974106
NCIH1299,1.9595114106279565
NCIH1341,1.182639876048901
NCIH1838,2.669131296095521
NCIH1876,0.5017088079106373
NCIH2052,3.41703870811181
NCIH596,4.027202931215233
NCIH810,2.0471088864931435
NCIN87,3.3629023757223493
ONS76,3.0657556871408964
OVISE,4.698393667036944
PANC0403,3.742174714133335
PANC0813,3.0363908792074175
PSN1,3.570984800764602
QGP1,3.0536972172287165
RAJI,0.49571185943535756
SCC4,2.538322100710747
SKLMS1,2.021421797332551
SNU1,2.6658029294752965
SNU398,2.4704656840915384
SUPM2,-0.03450184401516765
SW1116,4.180896526729669
SW1573,3.162156715020491
SW1990,3.9489836591128373
SW837,5.863618929077033
TE1,3.1066118600929165
TE6,1.5479604440242138
TT2609C02,1.3846999772180109
UACC62,3.6987812329458505
