patient_id,ic50
22RV1,2.1265195824629926
2313287,4.468256765157342
42MGBA,1.3524395381146257
A427,2.3782030501919356
BFTC905,2.6255069208234505
C32,2.4019155461410806
EFO27,3.071881050684714
EN,2.3949731138139163
EPLC272H,2.59124936290286
HCC1143,2.1528801654070886
HCC1954,4.0614666960961205
HCC366,2.895251403122899
HDMYZ,3.4206363461628144
HH,1.992972414511681
HL60,2.7460569759302027
HPAC,3.452180722230713
HSC4,2.1291247822172807
HT1080,1.7613855307035409
KE37,1.6929848540928585
KNS62,2.3790823960369964
KYM1,2.6518179082297286
KYSE510,2.7819025473023333
LAMA84,1.950610633366832
LCLC97TM1,2.16634015470944
LXF289,2.8038036797171704
MEWO,2.0827127735849507
MV411,1.5921998199531116
NCIH1299,3.361499373407673
NCIH1341,1.2577290113174067
NCIH1838,1.8452947616094257
NCIH1876,1.6825612422372664
NCIH2052,3.1152439226339266
NCIH596,3.3069142083988567
NCIH810,0.620991300020127
NCIN87,2.0574110999649093
ONS76,2.2416603397064447
OVISE,3.6899126865553398
PANC0403,2.9862182374121136
PANC0813,2.6205384040295003
PSN1,2.8765765496242066
QGP1,0.20222357332644147
RAJI,2.2596631364245354
SCC4,2.292800573216395
SKLMS1,2.8564655352390287
SNU1,1.331330632344515
SNU398,2.181651635862648
SUPM2,2.0718779665552454
SW1116,3.0041113439882583
SW1573,3.1908337666206683
SW1990,2.088847006319779
SW837,3.0869065870859216
TE1,2.6185576670530604
TE6,3.0775389858042668
TT2609C02,3.0785308203145436
UACC62,2.736416998784814
