patient_id,ic50
22RV1,4.757338158259128
2313287,3.8331580439712276
42MGBA,3.1028982902780244
A427,4.4307711132696
BFTC905,4.784682204280987
C32,3.8930816829840165
EFO27,4.430550392760138
EN,5.491392011194157
EPLC272H,4.100834153625313
HCC1143,4.014614966497937
HCC1954,4.0280614079816255
HCC366,4.2611038356929125
HDMYZ,3.722401564296783
HH,2.9933915876172983
HL60,5.0333307033901535
HPAC,4.416738454456885
HSC4,4.017978003903191
HT1080,3.37895607369112
KE37,3.784520620778619
KNS62,4.128760395634034
KYM1,4.485357658658805
KYSE510,4.275540841407784
LAMA84,3.8673641533009278
LCLC97TM1,4.765429140528826
LXF289,4.223647355807284
MEWO,3.57410078578469
MV411,4.139087607508327
NCIH1299,4.021601376107372
NCIH1341,4.143163021174983
NCIH1838,4.458751329074839
NCIH1876,5.379598200138086
NCIH2052,4.234597310269838
NCIH596,4.251779998529937
NCIH810,4.624578672164909
NCIN87,4.045107967178692
ONS76,3.8443301246868584
OVISE,5.371652944346947
PANC0403,4.447552701380271
PANC0813,4.509828428432543
PSN1,4.305451584323437
QGP1,3.8345259347653484
RAJI,3.902737881651521
SCC4,4.03835980226392
SKLMS1,3.568463096739009
SNU1,3.64422526269611
SNU398,5.3808615044845345
SUPM2,3.5980905718078766
SW1116,4.788571608063227
SW1573,4.678337048767311
SW1990,4.544917375267576
SW837,4.759665111094982
TE1,4.414745539885423
TE6,4.628641378974814
TT2609C02,4.526554426805392
UACC62,4.15932787642018
