patient_id,ic50
22RV1,3.8529662600014905
2313287,4.694226091077639
42MGBA,5.718830933988051
A427,6.195145955780762
BFTC905,4.640455343275078
C32,5.2862481962533625
EFO27,5.5538100218475135
EN,5.487545235721084
EPLC272H,3.931539241969338
HCC1143,4.38129430942331
HCC1954,5.170634636505329
HCC366,4.417399526545384
HDMYZ,5.896214876399057
HH,3.6013372221095414
HL60,3.495493289574955
HPAC,5.354170421900415
HSC4,4.795235105577459
HT1080,4.525415900389916
KE37,3.687714750383572
KNS62,4.5972125477998205
KYM1,4.725999684285358
KYSE510,4.4683863222556814
LAMA84,3.6221226866486615
LCLC97TM1,5.449395658668832
LXF289,3.5540125283056554
MEWO,5.262680915808346
MV411,3.4954297718196212
NCIH1299,4.207567956913548
NCIH1341,4.452890839035346
NCIH1838,5.279538526895539
NCIH1876,4.6192981380315885
NCIH2052,5.9649057679598485
NCIH596,5.64171470422699
NCIH810,5.000658789392338
NCIN87,4.932094509106281
ONS76,6.14695452903508
OVISE,5.465229608482263
PANC0403,5.441727899514929
PANC0813,5.203750830361681
PSN1,6.220136046328805
QGP1,6.300524454799829
RAJI,3.4870281310527895
SCC4,4.61866337109679
SKLMS1,5.583993080231206
SNU1,3.8182863663251734
SNU398,4.836922572496561
SUPM2,3.320650074475218
SW1116,5.991488801131493
SW1573,6.1190805039358445
SW1990,5.902404323493748
SW837,6.176536140648751
TE1,5.3050996909088655
TE6,4.0604618488836435
TT2609C02,5.572997933832507
UACC62,5.69477509855976
