patient_id,ic50
22RV1,2.6857883327022574
2313287,3.7236586472433095
42MGBA,4.601035174868306
A427,2.3807282376100867
BFTC905,3.418523703385972
C32,5.0897466856783415
EFO27,4.9186601925891615
EN,3.759017651494348
EPLC272H,3.8333335851481034
HCC1143,3.190731411564033
HCC1954,3.194451476121012
HCC366,4.862640991399403
HDMYZ,5.140970374178714
HH,3.1695068793300187
HL60,2.6438585547018754
HPAC,4.163945478130959
HSC4,4.324653859252542
HT1080,4.915244298090844
KE37,2.9098560517126875
KNS62,4.088293775593859
KYM1,4.663538313178443
KYSE510,3.020950727223979
LAMA84,3.0554368561354366
LCLC97TM1,4.3158044877390145
LXF289,4.611539585405044
MEWO,4.132658064781882
MV411,1.6404371182150919
NCIH1299,4.284387343877656
NCIH1341,3.0870444458870585
NCIH1838,4.674554048181779
NCIH1876,4.255040886592974
NCIH2052,5.422662996630499
NCIH596,4.7880330545494205
NCIH810,3.419259333937939
NCIN87,3.8261685619484496
ONS76,5.107683264843677
OVISE,4.962726620989827
PANC0403,4.5336862924780235
PANC0813,4.109869905626867
PSN1,3.8371704695330875
QGP1,4.3923799427634584
RAJI,3.0876915747491496
SCC4,3.794098508216037
SKLMS1,5.067475257951445
SNU1,3.4776610922617412
SNU398,3.550961808886372
SUPM2,2.30274998133842
SW1116,4.222783987785574
SW1573,4.9084020324309
SW1990,5.556428608195404
SW837,5.667977998073155
TE1,5.050152628477989
TE6,4.067453790437609
TT2609C02,5.328678336340003
UACC62,5.09854725674742
