patient_id,ic50
22RV1,4.305070149773817
2313287,4.800656866662783
42MGBA,5.02349431395124
A427,5.737409768946044
BFTC905,4.589650961597232
C32,5.092746042385804
EFO27,6.035150410562083
EN,5.426751334758298
EPLC272H,5.596396141747467
HCC1143,5.37419220715019
HCC1954,5.034093304985383
HCC366,6.062992962910116
HDMYZ,5.465631942852994
HH,3.718543207978378
HL60,3.980868436963216
HPAC,5.931964793124927
HSC4,5.435930687918224
HT1080,5.073319388351598
KE37,4.107699357874031
KNS62,4.956118816790804
KYM1,4.740643911482717
KYSE510,4.807136337754361
LAMA84,4.297528486516197
LCLC97TM1,6.406566966467004
LXF289,5.509611407497362
MEWO,3.8859095189457036
MV411,3.2478772562901095
NCIH1299,4.675889925408285
NCIH1341,4.314840821661255
NCIH1838,6.0326093442679944
NCIH1876,4.972855984126265
NCIH2052,5.895334185382189
NCIH596,6.004209097539439
NCIH810,5.3327410259669
NCIN87,5.63298177086073
ONS76,5.739499778010609
OVISE,5.559898845389833
PANC0403,6.019798233044588
PANC0813,6.095474841293239
PSN1,5.845028347903126
QGP1,5.670056102359547
RAJI,3.485834475118315
SCC4,5.163943448514697
SKLMS1,5.510833765219831
SNU1,4.578176379957536
SNU398,5.005085917952901
SUPM2,3.959762153213532
SW1116,5.163481146565217
SW1573,5.517552965995678
SW1990,6.2856470172598815
SW837,6.1092077983148885
TE1,5.717726749276548
TE6,4.520529231708025
TT2609C02,4.946623701012014
UACC62,4.973666913618303
