patient_id,ic50
22RV1,4.976633028370146
2313287,5.262075499143968
42MGBA,5.504841900682215
A427,6.080321789624148
BFTC905,5.2756166821998365
C32,6.181216054538774
EFO27,6.195951524324702
EN,5.75397786105277
EPLC272H,5.106060062391036
HCC1143,4.87782908848623
HCC1954,5.165045146784114
HCC366,6.221085393325114
HDMYZ,5.731800547297857
HH,4.261255981208188
HL60,4.078108485566084
HPAC,5.842126148274015
HSC4,4.538136146639228
HT1080,5.466563067165346
KE37,4.2354837011407085
KNS62,4.945198975072271
KYM1,4.830927571781443
KYSE510,5.245323645342955
LAMA84,3.3061955063895248
LCLC97TM1,5.740729262576055
LXF289,5.876036671334423
MEWO,4.811553346048435
MV411,3.886724087124313
NCIH1299,5.111852378754326
NCIH1341,5.164231768742437
NCIH1838,5.8714063909619405
NCIH1876,4.202367811237787
NCIH2052,5.6352213118863705
NCIH596,6.099704814892499
NCIH810,4.7477173068832395
NCIN87,5.6119782165440935
ONS76,5.62328631453511
OVISE,5.546446570314622
PANC0403,5.868418168978408
PANC0813,5.738961956848442
PSN1,5.695783948341597
QGP1,5.189831121657024
RAJI,3.958910719384879
SCC4,5.087694120660612
SKLMS1,5.95657679009609
SNU1,4.618413583232151
SNU398,4.999743096800103
SUPM2,3.6715366987608897
SW1116,5.541409934083063
SW1573,5.438277874637314
SW1990,6.417171802326326
SW837,5.974437269528327
TE1,5.509404615506638
TE6,4.960264368198062
TT2609C02,5.471430430426383
UACC62,5.709997717632187
