patient_id,ic50
22RV1,4.982444372068272
2313287,4.9843756157779895
42MGBA,4.907011355819468
A427,5.01241919933181
BFTC905,5.202513779419401
C32,5.9863422631555405
EFO27,5.636522414991595
EN,4.887183318090573
EPLC272H,4.9871625271464906
HCC1143,5.516439849042251
HCC1954,4.90675218042899
HCC366,5.145352551784992
HDMYZ,5.269038595277564
HH,3.687566521656771
HL60,4.164397421869272
HPAC,5.3123418056805685
HSC4,5.5970876663653755
HT1080,5.070598384520129
KE37,3.3803905995685155
KNS62,5.399203566485777
KYM1,4.8312783520261195
KYSE510,5.198473893874041
LAMA84,3.877663551394531
LCLC97TM1,5.811121037549928
LXF289,5.012796400144945
MEWO,5.492067165554647
MV411,3.737746698521274
NCIH1299,5.4246126412500555
NCIH1341,4.352232508660822
NCIH1838,5.037625125753198
NCIH1876,4.74060533304184
NCIH2052,5.237375454337272
NCIH596,5.774315254174799
NCIH810,4.868598030305122
NCIN87,5.007947231600164
ONS76,5.86207404045888
OVISE,5.848310436552476
PANC0403,5.208617561477119
PANC0813,5.188059263500127
PSN1,5.101844305312261
QGP1,5.078494457864737
RAJI,3.1360736162312817
SCC4,4.997426794668923
SKLMS1,5.240631640944042
SNU1,4.361049496659484
SNU398,4.712453154100804
SUPM2,3.378108579603719
SW1116,5.678803296108584
SW1573,5.102054193912294
SW1990,5.325024021111433
SW837,6.044944119279647
TE1,5.433891987667954
TE6,4.9037094501066285
TT2609C02,4.954913223214468
UACC62,5.6921353046942755
