patient_id,ic50
22RV1,2.3657192994889895
2313287,3.714234271802497
42MGBA,4.826585499582302
A427,4.135020364100105
BFTC905,3.146729995986157
C32,5.866472246913714
EFO27,4.94357595690628
EN,4.510269663592344
EPLC272H,4.617677165269599
HCC1143,4.4001980825338975
HCC1954,4.346563841442421
HCC366,4.812291987407173
HDMYZ,4.661197600888673
HH,2.827370526357174
HL60,2.7938526036672133
HPAC,3.8113219193836865
HSC4,4.079094724239484
HT1080,3.9817851807280933
KE37,2.9845087468845497
KNS62,4.40784505294168
KYM1,3.358043368886193
KYSE510,3.7684348373714056
LAMA84,2.9765893843591984
LCLC97TM1,3.208149735542185
LXF289,3.5874620768315655
MEWO,4.098137047234119
MV411,2.462098657066791
NCIH1299,3.7446347936956412
NCIH1341,3.27381395040479
NCIH1838,4.690315844558477
NCIH1876,3.9197718194990223
NCIH2052,4.598314977583082
NCIH596,5.134639022274721
NCIH810,2.995452442281408
NCIN87,4.221782254242057
ONS76,4.821084735790045
OVISE,4.503838098863679
PANC0403,4.135439461852177
PANC0813,4.11128614394186
PSN1,3.9860795809104363
QGP1,3.1805773385480247
RAJI,2.926514376199397
SCC4,4.0835243462464375
SKLMS1,5.178503590651065
SNU1,2.74964535662643
SNU398,3.731935197169826
SUPM2,2.683705531519637
SW1116,4.024903378316132
SW1573,4.072786668602475
SW1990,4.8619378829529545
SW837,4.018345352574461
TE1,4.467343210513679
TE6,2.726490079643657
TT2609C02,4.804357989214901
UACC62,5.371878745738847
