patient_id,ic50
22RV1,-2.7936664140325824
2313287,-0.9975733908190679
42MGBA,-3.1576713603593634
A427,-1.4862383644352484
BFTC905,-2.608777242441291
C32,-2.184823920093026
EFO27,-0.27631716645187865
EN,-0.7944027709451025
EPLC272H,-2.4588203826888595
HCC1143,-3.7719001189746098
HCC1954,-1.62068020173092
HCC366,-1.1978078016061846
HDMYZ,-2.9490957847496895
HH,-3.4077261404714587
HL60,-2.4831968840853453
HPAC,0.7600757001077745
HSC4,-1.8010698893508195
HT1080,-3.1826389605673047
KE37,-3.852443941904908
KNS62,-0.6479186873274825
KYM1,-4.02139544973199
KYSE510,-2.5782028212866157
LAMA84,-3.8588411656484167
LCLC97TM1,-0.4306924586846663
LXF289,-3.143432293756421
MEWO,-1.8715896664553677
MV411,-3.81976972806876
NCIH1299,-2.970297134798447
NCIH1341,-2.20996336430973
NCIH1838,-0.8790964572750855
NCIH1876,-1.3933438841565442
NCIH2052,-1.4045053604966475
NCIH596,-1.7695277448254394
NCIH810,-0.45119047933636147
NCIN87,-1.4520964275041346
ONS76,-2.517808203100062
OVISE,0.866999131096343
PANC0403,-0.34639678553705777
PANC0813,0.3756207294172551
PSN1,-1.2060283709678612
QGP1,0.8828020191646395
RAJI,-3.6003631453260536
SCC4,-3.908592429079797
SKLMS1,-3.3961849651725506
SNU1,-3.6375663828623988
SNU398,-1.8027954989056267
SUPM2,-4.249675760330327
SW1116,0.5084673860701194
SW1573,-1.1856289338143617
SW1990,-0.7714723054025119
SW837,0.329800602476932
TE1,-2.2588855081465757
TE6,-1.7838821121058084
TT2609C02,-1.9051898899747586
UACC62,-0.9181810154518237
