patient_id,ic50
22RV1,-1.1783276506502423
2313287,-1.4161784377494153
42MGBA,-1.7868151976870992
A427,0.07639725218218274
BFTC905,-1.7762505027051683
C32,-1.418721788282581
EFO27,-1.3945750259132883
EN,-1.4272566232490327
EPLC272H,-1.842733802549021
HCC1143,-1.6356804639921103
HCC1954,-1.801359388909352
HCC366,-1.0658326223180263
HDMYZ,-1.5054420260942456
HH,-2.1745182157417116
HL60,-1.7984149702605567
HPAC,-0.5774252840796148
HSC4,-1.8806508831731792
HT1080,-1.7904169915008068
KE37,-2.459495500937016
KNS62,-1.6888495095717961
KYM1,-1.5563501885748452
KYSE510,-1.721871158382158
LAMA84,-2.6280895804571553
LCLC97TM1,-0.983923734707976
LXF289,-0.969564177263315
MEWO,-1.7517902015717417
MV411,-2.293771152065675
NCIH1299,-1.449486201880428
NCIH1341,-2.1223964483221596
NCIH1838,-1.4652803785744317
NCIH1876,-1.3877006004962533
NCIH2052,-1.5020327566552587
NCIH596,-0.919940344579057
NCIH810,-0.8587100932037103
NCIN87,-1.6937144413544052
ONS76,-2.2210260305467324
OVISE,-1.720883267845111
PANC0403,-1.3149837018160735
PANC0813,-1.2362267767435746
PSN1,-1.0534964629224755
QGP1,-1.2546976676165877
RAJI,-2.4923046727655245
SCC4,-1.6449252217147194
SKLMS1,-1.723383333401987
SNU1,-1.5889264546769502
SNU398,-1.314485613865231
SUPM2,-2.1657482204030685
SW1116,-1.2164483295360282
SW1573,-1.5130166647440495
SW1990,-1.2906849622317915
SW837,-1.3846255607533893
TE1,-1.647098793627901
TE6,-1.4199530510881944
TT2609C02,-1.472925622868274
UACC62,-1.757910382836328
