patient_id,ic50
22RV1,2.6397955404230915
2313287,3.4522752332582924
42MGBA,4.135450523050941
A427,3.390746532398406
BFTC905,3.7415844017408686
C32,4.429511856495027
EFO27,3.569533414058107
EN,3.829190830394279
EPLC272H,3.7875341449635003
HCC1143,3.7737136236795976
HCC1954,4.603031271480499
HCC366,4.798815389343837
HDMYZ,3.7722389121280835
HH,1.947493051371889
HL60,3.0739541135448474
HPAC,4.557909613781717
HSC4,4.415904449584848
HT1080,4.332838012134477
KE37,2.0213674680223988
KNS62,3.7725187121348456
KYM1,2.500356009481882
KYSE510,3.6966154525685373
LAMA84,2.3374281275051336
LCLC97TM1,4.620571088927807
LXF289,4.053978503013476
MEWO,3.8945747621583564
MV411,2.5424012098538964
NCIH1299,3.636520579281796
NCIH1341,3.456623775852971
NCIH1838,5.254777021167455
NCIH1876,4.6543376385663455
NCIH2052,4.803628488984595
NCIH596,4.858635124485114
NCIH810,4.393446715474429
NCIN87,4.593319350692553
ONS76,3.504332617563306
OVISE,4.091589192676331
PANC0403,4.0374102984128
PANC0813,4.3072991797498865
PSN1,3.473534626587453
QGP1,4.053986306985657
RAJI,1.5449026154509462
SCC4,3.7373018506458022
SKLMS1,4.27950110791985
SNU1,3.0978031314840937
SNU398,4.1197994407182374
SUPM2,1.7823546338602405
SW1116,4.583618458783321
SW1573,4.483401139925318
SW1990,5.124101013783797
SW837,5.6168446803692405
TE1,5.01800120205957
TE6,3.2001257524654267
TT2609C02,3.460355813161596
UACC62,4.378162633413517
