patient_id,ic50
22RV1,4.462440747704805
2313287,5.09707490230853
42MGBA,5.694944518899246
A427,6.203045271131631
BFTC905,4.917538560954098
C32,6.180097039831227
EFO27,7.145631364188535
EN,6.225149773165404
EPLC272H,5.366982722199536
HCC1143,4.864466799722092
HCC1954,5.207464455820345
HCC366,6.8260760839500225
HDMYZ,5.742801484909353
HH,4.407024816629003
HL60,4.30822769849209
HPAC,5.33424272935639
HSC4,5.149726783622313
HT1080,5.927113598775052
KE37,1.6293455856964671
KNS62,5.451428465591832
KYM1,4.720917027158522
KYSE510,4.748843406292716
LAMA84,4.144951676205096
LCLC97TM1,5.357299790573821
LXF289,5.665334922703043
MEWO,5.632840998828206
MV411,4.174658550673104
NCIH1299,5.692482845749233
NCIH1341,5.5080692342546875
NCIH1838,6.012392618895996
NCIH1876,5.953047054875054
NCIH2052,6.580715642187169
NCIH596,7.239359136180404
NCIH810,6.118571033552561
NCIN87,5.538602062073468
ONS76,6.220386303601939
OVISE,5.860352938383496
PANC0403,5.7730644932854265
PANC0813,5.813129671325276
PSN1,5.8385098461706955
QGP1,6.055974585829845
RAJI,3.6599836779662858
SCC4,5.369236876671157
SKLMS1,6.112966540421153
SNU1,4.977125859701506
SNU398,5.6511468316863285
SUPM2,2.5659815857710453
SW1116,5.591875315072059
SW1573,6.257716966675514
SW1990,6.38099700546374
SW837,6.907104607781347
TE1,5.813701956437199
TE6,5.430911115469333
TT2609C02,6.205053521042989
UACC62,6.521164158281577
