patient_id,ic50
22RV1,3.587115982891583
2313287,3.8874675611113165
42MGBA,4.940161155595608
A427,2.8096168080658463
BFTC905,4.526351313476287
C32,4.71819049839057
EFO27,5.461523949121616
EN,3.8775088866000935
EPLC272H,5.096668509041019
HCC1143,4.761416242800771
HCC1954,3.9107441228266975
HCC366,5.570019597724561
HDMYZ,5.235772620372718
HH,3.0726294840411197
HL60,3.6259431485832594
HPAC,4.975615399123735
HSC4,4.386162019303507
HT1080,4.557490225927419
KE37,3.3048032135894867
KNS62,5.392336952151088
KYM1,3.7785000434427056
KYSE510,3.7977691118729506
LAMA84,4.21544283214946
LCLC97TM1,5.400838931830803
LXF289,5.227844344931118
MEWO,4.26193106424626
MV411,3.14736541233866
NCIH1299,4.119157245063519
NCIH1341,3.7039280080192847
NCIH1838,4.757333839943061
NCIH1876,4.211878593079774
NCIH2052,5.796238675893237
NCIH596,5.216437668653827
NCIH810,4.066463974692144
NCIN87,4.540538897114162
ONS76,5.080688685362631
OVISE,3.9223928831556902
PANC0403,5.371907535418805
PANC0813,5.2954443229487564
PSN1,3.9912708678285895
QGP1,3.848338127718337
RAJI,3.1707484583784176
SCC4,4.692742364417617
SKLMS1,5.568226172543866
SNU1,3.2503633099284266
SNU398,3.431901205774157
SUPM2,3.475907948639483
SW1116,5.1338323218560316
SW1573,4.76018669466092
SW1990,5.8905688906259295
SW837,5.028691737537402
TE1,5.125395950760515
TE6,4.064076927881481
TT2609C02,5.353867505140126
UACC62,4.735985029579491
