patient_id,ic50
22RV1,3.9527064419560602
2313287,5.7114386535777655
42MGBA,4.577219492655091
A427,5.009939104564208
BFTC905,4.459165601863171
C32,4.406773100943916
EFO27,5.294492887978798
EN,5.0704586468261565
EPLC272H,4.600758683494105
HCC1143,4.657702695461284
HCC1954,4.5141756759969205
HCC366,5.251849426242543
HDMYZ,4.830854594845524
HH,3.931944072787745
HL60,3.5727332112389245
HPAC,5.136874137731338
HSC4,4.3681540059497586
HT1080,4.571381427677205
KE37,4.368401681475299
KNS62,4.280146739548634
KYM1,5.000931537900155
KYSE510,4.584416217356164
LAMA84,3.947598474619555
LCLC97TM1,5.399578723936714
LXF289,4.018333992160677
MEWO,4.679762634557378
MV411,3.4056532736859895
NCIH1299,4.919510712713309
NCIH1341,3.9108457514078943
NCIH1838,5.208208982888189
NCIH1876,5.129537444379928
NCIH2052,4.930198577717965
NCIH596,5.1482442393039
NCIH810,4.433232536240912
NCIN87,5.338467306285388
ONS76,4.489327413955485
OVISE,5.094129824430489
PANC0403,5.087390919168117
PANC0813,4.906347571017306
PSN1,4.914840673546346
QGP1,4.7045026899791935
RAJI,3.391652164541923
SCC4,4.728872115934706
SKLMS1,4.725029403886863
SNU1,4.42845040564968
SNU398,4.689581173827419
SUPM2,3.86356951161774
SW1116,5.655779415221691
SW1573,4.21429715770071
SW1990,5.333329143390408
SW837,6.028269054830435
TE1,5.129936882050436
TE6,5.114298543338155
TT2609C02,4.940112596309991
UACC62,4.39730764454399
