patient_id,ic50
22RV1,4.565917565094406
2313287,4.519662003744402
42MGBA,5.300446152929878
A427,4.829228713625288
BFTC905,3.935089177542036
C32,5.348082405808123
EFO27,4.737279415847085
EN,4.639300656026543
EPLC272H,4.111650786958187
HCC1143,3.5115436139026306
HCC1954,3.8980038129928785
HCC366,5.283776023798219
HDMYZ,5.608505599131824
HH,4.4448344646075615
HL60,4.193032589497351
HPAC,5.185913077086151
HSC4,4.1341359302664475
HT1080,4.615309032507915
KE37,3.798360943783661
KNS62,5.0896316132506625
KYM1,4.021350389659434
KYSE510,3.535050426098045
LAMA84,4.751636389475333
LCLC97TM1,5.089636304973671
LXF289,4.464700103545185
MEWO,4.299660452917906
MV411,3.0972652350552488
NCIH1299,4.665152116999906
NCIH1341,4.659304720465436
NCIH1838,5.724198861066986
NCIH1876,5.5239912054607325
NCIH2052,5.366194928381963
NCIH596,5.670584388883845
NCIH810,5.580819073668193
NCIN87,5.085785286782933
ONS76,5.587009804570478
OVISE,5.455689070999659
PANC0403,5.447851625494413
PANC0813,5.405082533653471
PSN1,6.318912163177158
QGP1,5.977993305919397
RAJI,3.1667060362325015
SCC4,4.373591610079142
SKLMS1,5.243404642294051
SNU1,3.500687138803468
SNU398,4.040768712601136
SUPM2,3.9343009996068403
SW1116,6.096279507203593
SW1573,4.800482110620227
SW1990,6.077103828945557
SW837,6.151490620078141
TE1,4.714649163372639
TE6,4.619121583414743
TT2609C02,6.091939089332103
UACC62,4.926695646017845
