patient_id,ic50
22RV1,2.88492777785759
2313287,2.309880053395024
42MGBA,0.6513140852333352
A427,1.3403571998440935
BFTC905,2.99308215761772
C32,1.4939040631043936
EFO27,2.346670824281529
EN,2.8928831932493058
EPLC272H,2.2488121349161583
HCC1143,2.1250137610671582
HCC1954,2.5189548344153883
HCC366,2.0093919690750313
HDMYZ,1.1750712916256068
HH,1.2390018676851993
HL60,2.516409662077138
HPAC,3.0351851196431867
HSC4,3.070554370720224
HT1080,0.9222894387055329
KE37,2.579725425951622
KNS62,2.6724912297635477
KYM1,3.192031186829775
KYSE510,2.6053405617088607
LAMA84,2.1659577419924294
LCLC97TM1,3.23289777481397
LXF289,2.4821641266182177
MEWO,1.259836022076978
MV411,2.299097568871423
NCIH1299,1.2731898243245101
NCIH1341,1.7540480005722705
NCIH1838,1.885988239452963
NCIH1876,3.401778634858805
NCIH2052,1.9816490306643066
NCIH596,2.6767039823549297
NCIH810,2.999914840377953
NCIN87,2.754256303896323
ONS76,1.4423261747975753
OVISE,3.5449700515640705
PANC0403,2.86211520154468
PANC0813,2.9352891377769654
PSN1,2.5570420569113144
QGP1,2.462388982986287
RAJI,1.7183967345298496
SCC4,2.576947230041223
SKLMS1,1.2656624806929753
SNU1,1.2209207491117724
SNU398,2.838359884953368
SUPM2,1.8297806641875511
SW1116,2.857650031228241
SW1573,2.1526610254798113
SW1990,2.2016385325547
SW837,2.7246085536511924
TE1,1.9951088624191593
TE6,2.762901048678156
TT2609C02,1.827341946385013
UACC62,1.0647625797767784
