patient_id,ic50
22RV1,1.5406550570541904
2313287,2.968436785798072
42MGBA,2.4703009869983337
A427,4.601794778217774
BFTC905,2.744666797648003
C32,2.192405026202986
EFO27,4.4779087598911564
EN,4.128717823532134
EPLC272H,3.8241553311937166
HCC1143,2.4518029315684355
HCC1954,3.299617757588785
HCC366,4.536504404858156
HDMYZ,2.474133860736717
HH,1.5029185636274083
HL60,1.263252860550397
HPAC,3.394355607922185
HSC4,4.1226852354596275
HT1080,1.5461151176831605
KE37,1.3770369968924623
KNS62,2.8037198557737844
KYM1,1.5689024333184756
KYSE510,2.3712770298643946
LAMA84,2.2158148302122243
LCLC97TM1,3.3889368552846566
LXF289,2.711129338008632
MEWO,1.7441526069853548
MV411,1.1781689504289428
NCIH1299,2.6529279846050535
NCIH1341,2.4716625342816867
NCIH1838,4.287320101053643
NCIH1876,3.837516903892011
NCIH2052,3.5108927396834657
NCIH596,4.628597327285974
NCIH810,1.6590662032440269
NCIN87,3.4762045297325557
ONS76,3.7776319512643415
OVISE,3.2147409641388123
PANC0403,3.8692488140789956
PANC0813,3.838070225661962
PSN1,4.413001645603174
QGP1,3.549060289518748
RAJI,1.4562172394255097
SCC4,3.6983635737085043
SKLMS1,2.241266226763461
SNU1,2.329861904840403
SNU398,1.7548188531239408
SUPM2,1.4331644724323085
SW1116,3.7959340038322806
SW1573,4.251134611669775
SW1990,4.571765273532913
SW837,3.940087301563053
TE1,3.9024126185578014
TE6,4.098890867344215
TT2609C02,3.8586754343867202
UACC62,2.066378098579295
