patient_id,ic50
22RV1,5.725956030430695
2313287,6.132099730660177
42MGBA,6.119780299155082
A427,6.722166885969559
BFTC905,5.550564267664619
C32,6.081410655293028
EFO27,6.986698703369308
EN,6.3261653424886015
EPLC272H,5.427010698558189
HCC1143,6.311853848654374
HCC1954,5.6821050711601
HCC366,6.721288054253377
HDMYZ,6.750613011108598
HH,5.029486819753567
HL60,5.073678605084301
HPAC,6.779958370953696
HSC4,5.988336676160207
HT1080,6.282847354408862
KE37,2.142122717710572
KNS62,6.618023914818806
KYM1,6.357987956914304
KYSE510,5.883557220610255
LAMA84,4.735504358026214
LCLC97TM1,6.428791893161637
LXF289,6.290336600892194
MEWO,5.82644561460784
MV411,4.622134886875909
NCIH1299,6.158922386152669
NCIH1341,5.895103196444625
NCIH1838,6.471928389656045
NCIH1876,5.893787392788083
NCIH2052,6.7597896932128405
NCIH596,6.829680420875033
NCIH810,5.540313888970542
NCIN87,6.601720115044458
ONS76,6.471305076868164
OVISE,6.509079376649266
PANC0403,6.3286556517486465
PANC0813,6.266310540466873
PSN1,7.013839095530412
QGP1,5.916844911557141
RAJI,4.366843890862638
SCC4,5.806917951857185
SKLMS1,6.547591283240838
SNU1,5.177553260427661
SNU398,5.740006117513287
SUPM2,4.980555282236985
SW1116,6.604255130709345
SW1573,6.354940050721275
SW1990,7.1976266358436956
SW837,7.139416634241447
TE1,6.400017661077974
TE6,5.710936152387411
TT2609C02,6.55538841391715
UACC62,6.889644680894656
