patient_id,ic50
22RV1,3.773476690645002
2313287,4.236658386391817
42MGBA,4.160579110678708
A427,5.266520412333627
BFTC905,4.026123177268182
C32,4.389299988131803
EFO27,5.025038646734323
EN,4.986965366126001
EPLC272H,4.461505481670891
HCC1143,4.816506496956983
HCC1954,4.856580441820656
HCC366,4.410690767069323
HDMYZ,5.1092355633405955
HH,2.997205571068852
HL60,2.38208561478017
HPAC,4.888053709306078
HSC4,5.290097908804977
HT1080,3.755619013240896
KE37,2.378735631948434
KNS62,4.911644861116138
KYM1,3.3894720984231697
KYSE510,4.368971857596182
LAMA84,2.5083258781540225
LCLC97TM1,3.914911745811053
LXF289,4.226559596602177
MEWO,3.8366335474640403
MV411,2.3181029454433464
NCIH1299,4.654844765882812
NCIH1341,2.659824158234522
NCIH1838,6.1082845198635365
NCIH1876,2.781508500445477
NCIH2052,5.022803206016624
NCIH596,5.159633962452373
NCIH810,4.171152297770984
NCIN87,5.472149154954738
ONS76,4.6802160520101745
OVISE,4.446480034915086
PANC0403,4.957775095366618
PANC0813,4.7146968822720225
PSN1,4.852656461822524
QGP1,5.902835391536048
RAJI,1.7924574682126226
SCC4,4.722098048068956
SKLMS1,5.005881753722129
SNU1,3.587294093291436
SNU398,3.50735339449671
SUPM2,1.6876014238609556
SW1116,5.541055858859541
SW1573,5.057166478274829
SW1990,4.108809658233038
SW837,6.250535523383049
TE1,5.019717153819203
TE6,4.655419840078807
TT2609C02,3.9348572252851652
UACC62,5.113829476985964
