patient_id,ic50
22RV1,3.0826938702981095
2313287,4.400324428221461
42MGBA,4.463403579145616
A427,4.021374125672555
BFTC905,4.745262105811201
C32,2.6721404931771198
EFO27,5.128684901367067
EN,4.644349484974196
EPLC272H,5.217621307027825
HCC1143,5.717093728493175
HCC1954,5.721921536251703
HCC366,6.575217210411668
HDMYZ,4.586522691911087
HH,2.5937741071785423
HL60,2.3503525195262305
HPAC,4.896514191478966
HSC4,5.254041892141664
HT1080,2.3916622654366497
KE37,2.5854747905956654
KNS62,5.047276307023884
KYM1,2.7717375090686898
KYSE510,4.439921101015064
LAMA84,3.14657656228973
LCLC97TM1,4.580982389216828
LXF289,5.492076489209556
MEWO,4.271562296036082
MV411,-0.05808195533828364
NCIH1299,4.400618635440488
NCIH1341,4.836969455824986
NCIH1838,6.435499162616842
NCIH1876,5.467560112968281
NCIH2052,4.753346187835987
NCIH596,6.798585018156456
NCIH810,5.119085238623745
NCIN87,5.072147166750868
ONS76,3.7321194983640282
OVISE,4.116640174392826
PANC0403,6.412394445001641
PANC0813,6.6587667389018055
PSN1,5.2236500451562495
QGP1,4.613340754161317
RAJI,2.3176832584871647
SCC4,5.787599450201958
SKLMS1,4.963333081857471
SNU1,1.6259116418113657
SNU398,4.232967904124929
SUPM2,1.902219585154024
SW1116,5.972149304379555
SW1573,4.457272296645594
SW1990,5.11329033372281
SW837,7.31942224398101
TE1,6.399502226168951
TE6,5.188527842010126
TT2609C02,6.563612681817432
UACC62,2.7949298893323657
