patient_id,ic50
22RV1,2.025357570000176
2313287,3.486111094346903
42MGBA,3.9509758635795946
A427,0.7029968012196766
BFTC905,4.424348955922063
C32,4.0873189649347434
EFO27,5.146347683191128
EN,4.043561073527982
EPLC272H,3.863297923733332
HCC1143,4.477895540296179
HCC1954,3.4178319068580896
HCC366,5.057865056051027
HDMYZ,5.134616222399748
HH,3.4369837793494735
HL60,3.4273567299953074
HPAC,4.658639530164681
HSC4,3.826747293067017
HT1080,4.710052971874499
KE37,3.349192474363063
KNS62,4.540084907847258
KYM1,3.4702602446802375
KYSE510,3.9566061076764187
LAMA84,3.299914506830683
LCLC97TM1,5.700517490278606
LXF289,4.848586011272606
MEWO,3.5367821839514186
MV411,2.8627233712990567
NCIH1299,3.328030341714822
NCIH1341,3.2019842692735168
NCIH1838,4.348984797985581
NCIH1876,3.7869503676884086
NCIH2052,5.060068286797296
NCIH596,5.045227247172418
NCIH810,3.828086291238299
NCIN87,4.682263317074466
ONS76,4.6698000870479435
OVISE,4.253502519907252
PANC0403,5.3172189199491555
PANC0813,5.375433834388012
PSN1,3.370050937684148
QGP1,3.069236782174393
RAJI,2.9139052502367724
SCC4,4.607016597943365
SKLMS1,4.926024329599216
SNU1,3.3996638448935617
SNU398,2.9495519135044717
SUPM2,2.856584977464868
SW1116,4.403498604083877
SW1573,4.179267641014827
SW1990,6.333999676066275
SW837,5.691988615304406
TE1,4.657768243550212
TE6,3.997360457722877
TT2609C02,4.693856485562942
UACC62,4.168697442165339
